Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (AP Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.0019792504013321217,0.041666666666666664
0.0,0.2916666666666667
0.0004321265401636456,0.041666666666666664
0.0004463994458225085,0.041666666666666664
0.0018375931539931223,0.041666666666666664
0.0007489281431980097,0.041666666666666664
0.0018302134098213093,0.041666666666666664
0.0006518371373187735,0.041666666666666664
0.0014963167944091243,0.041666666666666664
3.902145924267741e-07,0.041666666666666664
6.977864451001082e-10,0.041666666666666664
3.407271768858656e-07,0.041666666666666664
2.393292014738374e-08,0.041666666666666664
0.0023623727780518887,0.041666666666666664
0.0030619545225595395,0.041666666666666664
0.002679268634064783,0.041666666666666664
0.0012621269612140664,0.041666666666666664
5.038791404518051e-07,0.041666666666666664
