Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (GC Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.0,0.29411764705882354
2.5828149283518864e-09,0.058823529411764705
5.282988413854793e-07,0.058823529411764705
2.2011629696688884e-09,0.058823529411764705
0.004784992899193006,0.058823529411764705
0.0011563920220758878,0.058823529411764705
1.0810991105651388e-08,0.058823529411764705
0.004213601895320811,0.058823529411764705
0.005506616656016757,0.058823529411764705
0.0026605736685610527,0.058823529411764705
0.0022079258759258717,0.058823529411764705
4.781078795560717e-07,0.058823529411764705
9.730945052464787e-07,0.058823529411764705
