Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (RM Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.0021725247800028335,0.14285714285714285
0.005488715965729081,0.14285714285714285
0.0014268962050836816,0.14285714285714285
0.0017081532628426645,0.14285714285714285
0.0007399822672387232,0.14285714285714285
0.0031345270718495374,0.14285714285714285
0.0009971835344215624,0.14285714285714285
