Data Type,Test Destruction Efficiencies,,,,,
Use,Destruction efficiencies for heater malfunctioning,,,,,
Units,N/A,,,,,
Source,Plant et. Al on flare inefficiencies,,,,,
%%%ENDOFMETADATA%%%,,,,,,
METHANE,METHANE Probability,ETHANE,ETHANE Probability,PROPANE,PROPANE Probability,C21
0.815869,0.1,0.817413,0.1,0.81766,0.1,
0.816893,0.1,0.81764,0.1,0.81803,0.1,
0.817259,0.1,0.817959,0.1,0.81786,0.1,
0.816504,0.1,0.817788,0.1,0.817942,0.1,
0.816804,0.1,0.817968,0.1,0.817967,0.1,
0.817809,0.1,0.818051,0.1,0.817891,0.1,
0.816326,0.1,0.817518,0.1,0.81791,0.1,
0.816627,0.1,0.817596,0.1,0.817944,0.1,
0.81659,0.1,0.817669,0.1,0.817961,0.1,
0.817533,0.1,0.818018,0.1,0.818003,0.1,
