Data Type,Test Destruction Efficiencies,,,,
Use,Destruction efficiencies for 4SLB,,,,
Units,N/A,,,,
Source,GEF study,,,,
%%%ENDOFMETADATA%%%,,,,,
METHANE,METHANE Probability,ETHANE,ETHANE Probability,PROPANE,PROPANE Probability
0.981133069,0.0303,0.99199603,0.0303,0.997081715,0.0303
0.980895299,0.0303,0.992203799,0.0303,0.997235689,0.0303
0.966764473,0.0303,0.974987794,0.0303,0.978702183,0.0303
0.972751663,0.0303,0.971320618,0.0303,0.975065133,0.0303
0.972329313,0.0303,0.971113104,0.0303,0.974918406,0.0303
0.974301267,0.0303,0.974466952,0.0303,0.97911607,0.0303
0.973888417,0.0303,0.973540856,0.0303,0.977349014,0.0303
0.972750764,0.0303,0.973594986,0.0303,0.97897358,0.0303
0.967950511,0.0303,0.976583139,0.0303,0.98055726,0.0303
0.968356531,0.0303,0.976655112,0.0303,0.979129798,0.0303
0.96799552,0.0303,0.971951359,0.0303,0.969922995,0.0303
0.967903466,0.0303,0.971107897,0.0303,0.994471969,0.0303
0.964286553,0.0303,0.971685863,0.0303,0.974240886,0.0303
0.965705723,0.0303,0.972905109,0.0303,0.97659935,0.0303
0.958434409,0.0303,0.967802545,0.0303,0.977388533,0.0303
0.962930315,0.0303,0.969918157,0.0303,0.983559773,0.0303
0.965693079,0.0303,0.971908403,0.0303,0.976926604,0.0303
0.970032527,0.0303,0.976828073,0.0303,0.979697422,0.0303
0.971356975,0.0303,0.978054246,0.0303,0.981136405,0.0303
0.983634426,0.0303,0.991429022,0.0303,0.995004024,0.0303
0.990500012,0.0303,0.995167224,0.0303,0.997347676,0.0303
0.959338139,0.0303,0.961385761,0.0303,0.990372247,0.0303
0.987304759,0.0303,0.992655525,0.0303,0.998139377,0.0303
0.986102039,0.0303,0.991859228,0.0303,0.99753886,0.0303
0.985190674,0.0303,0.991576306,0.0303,0.997706341,0.0303
0.95602867,0.0303,0.990907032,0.0303,0.996051754,0.0303
0.960969857,0.0303,0.966437619,0.0303,0.976693191,0.0303
0.95454236,0.0303,0.958884857,0.0303,0.997995421,0.0303
0.963827209,0.0303,0.973121621,0.0303,0.991059473,0.0303
0.964629769,0.0303,0.967552237,0.0303,0.986997089,0.0303
0.975144509,0.0303,0.982600918,0.0303,0.98729025,0.0303
0.966667372,0.0303,0.975505717,0.0303,0.979836981,0.0303
0.972611397,0.0303,0.980593338,0.0303,0.984752281,0.0303
