Distribution Type,Histogram
Use,CCEE ratios
Units,NA
Gas Type,whole_gas
Emission Unit,NA
Source,Tim's Tests
Time Basis,NA
%%%ENDOFMETADATA%%%,
Fraction,Probability
0.17,0.01724
0.11,0.01724
0.06,0.01724
0.11,0.01724
0.12,0.01724
0.16,0.01724
0.15,0.01724
0.11,0.01724
0.03,0.01724
0.12,0.01724
0.16,0.01724
0.11,0.01724
0.2,0.01724
0.09,0.01724
0.12,0.01724
0.15,0.01724
0.42,0.01724
0.35,0.01724
0.48,0.01724
0.97,0.01724
0.27,0.01724
1.11,0.01724
0.36,0.01724
0.22,0.01724
0.96,0.01724
0.26,0.01724
0.18,0.01724
0.18,0.01724
0.2,0.01724
0.09,0.01724
0.39,0.01724
0.29,0.01724
0.06,0.01724
0.34,0.01724
0.12,0.01724
0.11,0.01724
0.25,0.01724
0.92,0.01724
2.73,0.01724
0.07,0.01724
0.12,0.01724
0.14,0.01724
0.11,0.01724
0.13,0.01724
0.07,0.01724
0.38,0.01724
0.37,0.01724
0.26,0.01724
0.09,0.01724
0.11,0.01724
0.23,0.01724
0.43,0.01724
0.13,0.01724
0.13,0.01724
0.14,0.01724
0.07,0.01724
0.13,0.01724
0.24,0.01724
