Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
User Units,scf/s (wholegas)
Source,Plumes Matched to Midstream Compressor Events
Component,Misc. Equip. Large Emitters for Midstream Facilities
Survey Frequency,2 months
Leak Probability,0.019402985
Mean Emissions (kg/s),0.075678881
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.005163928,0.00053846
0.015491783,0.00070769
0.025819601,0.00056923
0.036147457,0.00063077
0.046475312,0.00066154
0.056803168,0.00089231
0.067131023,0.00073846
0.077458841,0.00070769
0.087786697,0.00087692
0.098114552,0.00089231
0.108442408,0.00081538
0.118770226,0.00075385
0.129098081,0.00072308
0.139425937,0.00073846
0.149753792,0.00098462
0.160081648,0.0011231
0.170409466,0.00081538
0.180737322,0.001
0.191065177,0.00093846
0.201393032,0.0010923
0.211720851,0.00084615
0.222048706,0.00098462
0.232376562,0.0013077
0.242704417,0.0011692
0.253032272,0.0010923
0.263360091,0.00098462
0.273687946,0.0010462
0.284015802,0.0011077
0.294343657,0.0012154
0.304671475,0.0010154
0.314999331,0.0014923
0.325327186,0.0011692
0.335655042,0.0012615
0.345982897,0.0012154
0.356310715,0.0013231
0.366638571,0.0014769
0.376966426,0.0012462
0.387294282,0.0014923
0.3976221,0.0017538
0.407949955,0.0015385
0.418277811,0.0014769
0.428605666,0.0019385
0.438933522,0.0014615
0.44926134,0.0015692
0.459589195,0.0015077
0.469917051,0.0017231
0.480244906,0.0016769
0.490572725,0.0018923
0.50090058,0.0018923
0.511228435,0.0019846
0.521556291,0.0016923
0.531884146,0.0018769
0.542211965,0.0017846
0.55253982,0.0023538
0.562867675,0.0019231
0.573195531,0.0020923
0.583523349,0.0022308
0.593851205,0.0021846
0.60417906,0.0026
0.614506916,0.0027538
0.624834771,0.0025846
0.635162589,0.0025846
0.645490445,0.0029385
0.6558183,0.003
0.666146156,0.0026769
0.676473974,0.0031846
0.686801829,0.0029538
0.697129685,0.0031385
0.70745754,0.0030308
0.717785396,0.0027385
0.728113214,0.0034769
0.738441069,0.0032308
0.748768925,0.0032308
0.75909678,0.0033846
0.769424598,0.0035231
0.779752454,0.0035538
0.790080309,0.0035385
0.800408165,0.0039385
0.81073602,0.0035231
0.821063838,0.0042769
0.831391694,0.0036923
0.841719549,0.0038615
0.852047405,0.0040769
0.862375223,0.0036923
0.872703079,0.0045538
0.883030934,0.0043077
0.893358789,0.0042923
0.903686645,0.0043846
0.914014463,0.004
0.924342319,0.0041846
0.934670174,0.0044769
0.944998029,0.0046154
0.955325848,0.0045846
0.965653703,0.0047692
0.975981559,0.0044769
0.986309414,0.0050462
0.996637269,0.0042615
1.006965088,0.0045846
1.017292943,0.0051692
1.027620799,0.0046769
1.037948654,0.0053692
1.048276472,0.0045538
1.058604328,0.0044769
1.068932183,0.0046615
1.079260039,0.0050769
1.089587894,0.0046
1.099915712,0.0044462
1.110243568,0.0049077
1.120571423,0.0049385
1.130899279,0.0047692
1.141227097,0.0048462
1.151554952,0.0050308
1.161882808,0.0048769
1.172210663,0.0045077
1.182538519,0.0050615
1.192866337,0.0050462
1.203194192,0.005
1.213522048,0.0051231
1.223849903,0.0046308
1.234177722,0.0047385
1.244505577,0.0048923
1.254833432,0.0049846
1.265161288,0.0047231
1.275489143,0.005
1.285816962,0.0044769
1.296144817,0.0049231
1.306472673,0.0049538
1.316800528,0.0045538
1.327128346,0.0047385
1.337456202,0.0043692
1.347784057,0.0045846
1.358111913,0.0044308
1.368439768,0.0041692
1.378767586,0.0043077
1.389095442,0.0046615
1.399423297,0.0039692
1.409751153,0.0037846
1.420078971,0.0045231
1.430406826,0.0038462
1.440734682,0.0037538
1.451062537,0.0038615
1.461390393,0.0033385
1.471718211,0.0032154
1.482046066,0.0035846
1.492373922,0.0034769
1.502701777,0.0032462
1.513029595,0.0038615
1.523357451,0.0031538
1.533685306,0.0034923
1.544013162,0.0034
1.554341017,0.0035385
1.564668836,0.0032769
1.574996691,0.0033077
1.585324546,0.003
1.595652402,0.0031538
1.60598022,0.0034154
1.616308076,0.0029231
1.626635931,0.0030154
1.636963786,0.0028462
1.647291642,0.0028
1.65761946,0.0030308
1.667947316,0.0030615
1.678275171,0.0027231
1.688603026,0.0025385
1.698930845,0.0022308
1.7092587,0.0027385
1.719586556,0.0032
1.729914411,0.0022769
1.740242267,0.0023846
1.750570085,0.0026308
1.76089794,0.0023846
1.771225796,0.0024923
1.781553651,0.0021538
1.791881469,0.0021538
1.802209325,0.0021846
1.81253718,0.0023692
1.822865036,0.0021846
1.833192891,0.0021231
1.843520709,0.0023692
1.853848565,0.0024
1.86417642,0.0020462
1.874504276,0.0021692
1.884832094,0.0021231
1.895159949,0.0018308
1.905487805,0.0018154
1.91581566,0.0022462
1.926143516,0.0019231
1.936471334,0.0016308
1.946799189,0.0017538
1.957127045,0.0016769
1.9674549,0.0019538
