Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
User Units,scf/s (wholegas)
Source,Plumes Matched to Production Facilities
Component,All Large Emitters for Production Facilities
Survey Frequency,2 months
Leak Probability,0.000508353
Mean Emissions (kg/s),0.086676582
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.005176631,0.00088182
0.015529892,0.00096364
0.025883116,0.0010545
0.036236377,0.0011455
0.046589638,0.0011636
0.0569429,0.0013091
0.067296161,0.0015091
0.077649385,0.0015636
0.088002646,0.0014818
0.098355908,0.0017545
0.108709169,0.0018
0.119062393,0.0016727
0.129415654,0.0022545
0.139768915,0.0020091
0.150122177,0.0022273
0.160475438,0.0022182
0.170828662,0.0023545
0.181181923,0.0025818
0.191535184,0.0025545
0.201888446,0.0024
0.21224167,0.0026636
0.222594931,0.0027273
0.232948192,0.0025455
0.243301454,0.0027545
0.253654715,0.0029
0.264007939,0.0029909
0.2743612,0.0029909
0.284714461,0.0026545
0.295067723,0.0026455
0.305420947,0.0026636
0.315774208,0.0026545
0.326127469,0.0028364
0.336480731,0.0025455
0.346833992,0.0026636
0.357187216,0.0027455
0.367540477,0.0026909
0.377893738,0.0023727
0.388247,0.0025
0.398600224,0.0022273
0.408953485,0.0022091
0.419306746,0.0021909
0.429660007,0.0022364
0.440013269,0.0021091
0.450366493,0.0022
0.460719754,0.0019273
0.471073015,0.0019364
0.481426277,0.0021091
0.491779501,0.0022273
0.502132762,0.0019455
0.512486023,0.0020818
0.522839284,0.0019909
0.533192546,0.0021091
0.54354577,0.0018727
0.553899031,0.0018364
0.564252292,0.0017364
0.574605553,0.0018727
0.584958777,0.0018364
0.595312039,0.0019091
0.6056653,0.0021273
0.616018561,0.0017818
0.626371823,0.0018818
0.636725047,0.0016091
0.647078308,0.0018818
0.657431569,0.0018909
0.66778483,0.0018455
0.678138054,0.0017818
0.688491316,0.0018636
0.698844577,0.0019091
0.709197838,0.0020818
0.7195511,0.0018727
0.729904324,0.0019
0.740257585,0.0016455
0.750610846,0.0017636
0.760964107,0.0017909
0.771317331,0.0017636
0.781670593,0.0020636
0.792023854,0.002
0.802377115,0.0017818
0.812730376,0.002
0.8230836,0.0017455
0.833436862,0.0019273
0.843790123,0.0019909
0.854143384,0.0019364
0.864496608,0.0021091
0.87484987,0.0020545
0.885203131,0.0021091
0.895556392,0.0019273
0.905909653,0.0019273
0.916262877,0.0020545
0.926616139,0.0021636
0.9369694,0.0020182
0.947322661,0.0020455
0.957675885,0.0020455
0.968029146,0.0021818
0.978382408,0.0021364
0.988735669,0.0022909
0.99908893,0.0019455
1.009442154,0.0021364
1.019795416,0.0022364
1.030148677,0.0020545
1.040501938,0.0021455
1.050855162,0.0022818
1.061208423,0.0023273
1.071561685,0.0022273
1.081914946,0.0022
1.092268207,0.0023
1.102621431,0.0022273
1.112974693,0.0024182
1.123327954,0.0025
1.133681215,0.0025
1.144034439,0.0020545
1.1543877,0.0025727
1.164740962,0.0024909
1.175094223,0.0024727
1.185447484,0.0027
1.195800708,0.0026636
1.206153969,0.0027273
1.216507231,0.0024364
1.226860492,0.0025545
1.237213716,0.0028727
1.247566977,0.0025727
1.257920239,0.0022636
1.2682735,0.0027273
1.278626761,0.0028636
1.288979985,0.0027364
1.299333246,0.0027
1.309686508,0.0026273
1.320039769,0.0026
1.330392993,0.0028545
1.340746254,0.0028364
1.351099515,0.0029
1.361452777,0.0025909
1.371806038,0.0027273
1.382159262,0.0028364
1.392512523,0.0026182
1.402865785,0.0027364
1.413219046,0.0029364
1.42357227,0.0030545
1.433925531,0.0031545
1.444278792,0.0026545
1.454632054,0.0029273
1.464985315,0.0027545
1.475338539,0.0026091
1.4856918,0.0027455
1.496045061,0.0028818
1.506398323,0.0028909
1.516751547,0.0029818
1.527104808,0.0029
1.537458069,0.0026727
1.547811331,0.0031909
1.558164592,0.0029636
1.568517816,0.0028273
1.578871077,0.0030182
1.589224338,0.0029636
1.5995776,0.0029273
1.609930824,0.0030364
1.620284085,0.0026545
1.630637346,0.0029818
1.640990608,0.0032636
1.651343869,0.003
1.661697093,0.0027091
1.672050354,0.0028818
1.682403615,0.0027545
1.692756877,0.0029273
1.703110101,0.0026091
1.713463362,0.0031
1.723816623,0.0028273
1.734169884,0.0030182
1.744523146,0.0028455
1.75487637,0.0027909
1.765229631,0.0034091
1.775582892,0.0030545
1.785936154,0.0029364
1.796289378,0.0032
1.806642639,0.0027455
1.8169959,0.0032636
1.827349161,0.0027091
1.837702423,0.0030545
1.848055647,0.0029455
1.858408908,0.0027273
1.868762169,0.0031455
1.87911543,0.0025636
1.889468654,0.0027636
1.899821916,0.0025545
1.910175177,0.0028545
1.920528438,0.0027818
1.9308817,0.0027818
1.941234924,0.003
1.951588185,0.0030636
1.961941446,0.0025727
1.972294707,0.0029
1.982647931,0.0031636
1.993001193,0.0025182
