Distribution Type,Histogram
Use,EMISSIONS
Units,kg_wholegas
Gas Type,whole_gas
Emission Unit,kg
Time Basis,s
User Units,kg/s (wholegas)
Source,Plumes Matched to Production Facilities
Component,Flares Large Emitters for Production Facilities
Survey Frequency,2 months
Leak Probability,5.92E-05
Mean Emissions (kg/s),5.54E-02
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.000138889,0.00015
0.000416667,5.00E-05
0.000694444,0.0001
0.000972222,0.0001
0.00125,0.0001
0.001527778,0.00015
0.001805556,0.00015
0.002083333,0.0001
0.002361111,0.0001
0.002638889,0.0001
0.002916667,0.00015
0.003194444,0.0001
0.003472222,5.00E-05
0.00375,0.0002
0.004027778,0.00025
0.004305556,0.00015
0.004583333,0.00025
0.004861111,0.0003
0.005138889,0.00015
0.005416667,0.0002
0.005694444,0.0003
0.005972222,0.00015
0.00625,0.0003
0.006527778,0.0001
0.006805556,0.00015
0.007083333,0.00045
0.007361111,0.0004
0.007638889,0.0003
0.007916667,0.0003
0.008194444,0.00045
0.008472222,0.0003
0.00875,0.0003
0.009027778,0.00025
0.009305556,0.0006
0.009583333,0.0003
0.009861111,0.00035
0.010138889,0.00065
0.010416667,0.00035
0.010694444,0.0005
0.010972222,0.0006
0.01125,0.00035
0.011527778,0.0005
0.011805556,0.00035
0.012083333,0.0006
0.012361111,0.00045
0.012638889,0.00055
0.012916667,0.0005
0.013194444,0.00075
0.013472222,0.00075
0.01375,0.00105
0.014027778,0.00045
0.014305556,0.00075
0.014583333,0.00065
0.014861111,0.00085
0.015138889,0.00105
0.015416667,0.00075
0.015694444,0.00075
0.015972222,0.00075
0.01625,0.0009
0.016527778,0.001
0.016805556,0.00075
0.017083333,0.0007
0.017361111,0.0012
0.017638889,0.0011
0.017916667,0.0014
0.018194444,0.00125
0.018472222,0.0013
0.01875,0.0009
0.019027778,0.00145
0.019305556,0.00105
0.019583333,0.00115
0.019861111,0.002
0.020138889,0.00135
0.020416667,0.00125
0.020694444,0.0013
0.020972222,0.00145
0.02125,0.00145
0.021527778,0.00135
0.021805556,0.0012
0.022083333,0.0017
0.022361111,0.0021
0.022638889,0.00175
0.022916667,0.00155
0.023194444,0.0019
0.023472222,0.0015
0.02375,0.0019
0.024027778,0.0016
0.024305556,0.00165
0.024583333,0.0021
0.024861111,0.0021
0.025138889,0.0021
0.025416667,0.0022
0.025694444,0.00205
0.025972222,0.0024
0.02625,0.0017
0.026527778,0.00205
0.026805556,0.00205
0.027083333,0.0023
0.027361111,0.0025
0.027638889,0.0026
0.027916667,0.0023
0.028194444,0.0025
0.028472222,0.00285
0.02875,0.00235
0.029027778,0.00205
0.029305556,0.0027
0.029583333,0.0025
0.029861111,0.0029
0.030138889,0.003
0.030416667,0.00325
0.030694444,0.00315
0.030972222,0.003
0.03125,0.00235
0.031527778,0.00245
0.031805556,0.00285
0.032083333,0.0041
0.032361111,0.00245
0.032638889,0.0035
0.032916667,0.003
0.033194444,0.00375
0.033472222,0.00315
0.03375,0.0037
0.034027778,0.004
0.034305556,0.00395
0.034583333,0.00285
0.034861111,0.0028
0.035138889,0.00455
0.035416667,0.0037
0.035694444,0.0039
0.035972222,0.0044
0.03625,0.00415
0.036527778,0.00435
0.036805556,0.0049
0.037083333,0.00405
0.037361111,0.004
0.037638889,0.0042
0.037916667,0.00405
0.038194444,0.00395
0.038472222,0.00515
0.03875,0.0039
0.039027778,0.0049
0.039305556,0.0048
0.039583333,0.0048
0.039861111,0.0041
0.040138889,0.0042
0.040416667,0.0038
0.040694444,0.00475
0.040972222,0.00515
0.04125,0.0044
0.041527778,0.00495
0.041805556,0.00505
0.042083333,0.00475
0.042361111,0.00435
0.042638889,0.0047
0.042916667,0.0048
0.043194444,0.0051
0.043472222,0.00545
0.04375,0.005
0.044027778,0.0052
0.044305556,0.00495
0.044583333,0.0057
0.044861111,0.0051
0.045138889,0.0048
0.045416667,0.00555
0.045694444,0.0059
0.045972222,0.0063
0.04625,0.0053
0.046527778,0.0049
0.046805556,0.00525
0.047083333,0.0044
0.047361111,0.00495
0.047638889,0.00575
0.047916667,0.00595
0.048194444,0.0053
0.048472222,0.00555
0.04875,0.00575
0.049027778,0.00545
0.049305556,0.0059
0.049583333,0.0055
0.049861111,0.00495
0.050138889,0.0056
0.050416667,0.00695
0.050694444,0.00555
