Distribution Type,Histogram
Use,EMISSIONS
Units,kg_wholegas
Gas Type,whole_gas
Emission Unit,kg
Time Basis,s
User Units,kg/s (wholegas)
Source,Plumes Matched to Production Facilities
Component,Misc. Equip. Large Emitters for Production Facilities
Survey Frequency,2 months
Leak Probability,0.000161749
Mean Emissions (kg/s),0.131470561
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.000138889,0.00074286
0.000416667,0.0012571
0.000694444,0.0015143
0.000972222,0.0013143
0.00125,0.0018286
0.001527778,0.0016
0.001805556,0.0019714
0.002083333,0.0023429
0.002361111,0.0030286
0.002638889,0.0032
0.002916667,0.0030286
0.003194444,0.0028571
0.003472222,0.0035429
0.00375,0.0032286
0.004027778,0.0034857
0.004305556,0.0039429
0.004583333,0.0040857
0.004861111,0.0042571
0.005138889,0.0045429
0.005416667,0.0046
0.005694444,0.0050857
0.005972222,0.0046857
0.00625,0.0051429
0.006527778,0.0054857
0.006805556,0.0048
0.007083333,0.0038
0.007361111,0.0048286
0.007638889,0.0043714
0.007916667,0.0039143
0.008194444,0.0048
0.008472222,0.0042571
0.00875,0.0039429
0.009027778,0.0037714
0.009305556,0.0037143
0.009583333,0.0038857
0.009861111,0.0034286
0.010138889,0.0035714
0.010416667,0.0035143
0.010694444,0.0029143
0.010972222,0.0022286
0.01125,0.0027429
0.011527778,0.0019714
0.011805556,0.0023714
0.012083333,0.0021429
0.012361111,0.0015429
0.012638889,0.0015714
0.012916667,0.0018
0.013194444,0.0014571
0.013472222,0.0015714
0.01375,0.0011714
0.014027778,0.0012857
0.014305556,0.0014286
0.014583333,0.0012857
0.014861111,0.0011714
0.015138889,0.00091429
0.015416667,0.0011143
0.015694444,0.0010857
0.015972222,0.0011429
0.01625,0.0010857
0.016527778,0.0010857
0.016805556,0.00085714
0.017083333,0.00088571
0.017361111,0.0010286
0.017638889,0.001
0.017916667,0.00088571
0.018194444,0.00065714
0.018472222,0.0010286
0.01875,0.0012
0.019027778,0.00082857
0.019305556,0.00088571
0.019583333,0.00074286
0.019861111,0.0010286
0.020138889,0.0008
0.020416667,0.00077143
0.020694444,0.0008
0.020972222,0.0011143
0.02125,0.0011714
0.021527778,0.0010857
0.021805556,0.0017714
0.022083333,0.0012286
0.022361111,0.0011143
0.022638889,0.0012857
0.022916667,0.0012
0.023194444,0.0012857
0.023472222,0.0012857
0.02375,0.0013143
0.024027778,0.0014
0.024305556,0.0012
0.024583333,0.0016286
0.024861111,0.0015714
0.025138889,0.0013714
0.025416667,0.0012857
0.025694444,0.0015714
0.025972222,0.001
0.02625,0.0012
0.026527778,0.0014
0.026805556,0.0015143
0.027083333,0.0012
0.027361111,0.0017143
0.027638889,0.0015143
0.027916667,0.0016857
0.028194444,0.0016571
0.028472222,0.0012571
0.02875,0.0012571
0.029027778,0.0014
0.029305556,0.0011714
0.029583333,0.0018
0.029861111,0.0015143
0.030138889,0.0014
0.030416667,0.0013429
0.030694444,0.0022
0.030972222,0.0018857
0.03125,0.0013429
0.031527778,0.0015714
0.031805556,0.0018286
0.032083333,0.0017143
0.032361111,0.0017429
0.032638889,0.0019714
0.032916667,0.0012
0.033194444,0.0012
0.033472222,0.0014857
0.03375,0.0015714
0.034027778,0.0015429
0.034305556,0.0014286
0.034583333,0.0015714
0.034861111,0.0013429
0.035138889,0.0013714
0.035416667,0.0015714
0.035694444,0.0015143
0.035972222,0.0017429
0.03625,0.0016857
0.036527778,0.0016286
0.036805556,0.0021143
0.037083333,0.0014571
0.037361111,0.0016286
0.037638889,0.0018857
0.037916667,0.0017143
0.038194444,0.0014
0.038472222,0.0016571
0.03875,0.0016286
0.039027778,0.0014286
0.039305556,0.0016
0.039583333,0.0015143
0.039861111,0.0014571
0.040138889,0.0019429
0.040416667,0.0015429
0.040694444,0.0014
0.040972222,0.0015714
0.04125,0.0014286
0.041527778,0.0015143
0.041805556,0.0015714
0.042083333,0.0015429
0.042361111,0.0014286
0.042638889,0.0019143
0.042916667,0.0014286
0.043194444,0.0014286
0.043472222,0.0012857
0.04375,0.0014286
0.044027778,0.0013714
0.044305556,0.0010571
0.044583333,0.0015143
0.044861111,0.0013429
0.045138889,0.0013143
0.045416667,0.0010286
0.045694444,0.0016857
0.045972222,0.0015714
0.04625,0.0012286
0.046527778,0.0017429
0.046805556,0.0014
