Distribution Type,Histogram
Use,EMISSIONS
Units,kg_wholegas
Gas Type,whole_gas
Emission Unit,kg
Time Basis,s
User Units,kg/s (wholegas)
Source,Plumes Matched to Production Facilities
Component,SDV Large Emitters for Production Facilities
Survey Frequency,2 months
Leak Probability,6.93E-05
Mean Emissions (kg/s),9.53E-02
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.000138889,0.0021333
0.000416667,0.0022
0.000694444,0.0024
0.000972222,0.0028667
0.00125,0.0021333
0.001527778,0.0028667
0.001805556,0.0028667
0.002083333,0.0034667
0.002361111,0.0030667
0.002638889,0.0037333
0.002916667,0.0029333
0.003194444,0.004
0.003472222,0.0042
0.00375,0.0036
0.004027778,0.0036667
0.004305556,0.0043333
0.004583333,0.0042
0.004861111,0.0042667
0.005138889,0.0042667
0.005416667,0.0046667
0.005694444,0.0041333
0.005972222,0.0064667
0.00625,0.0053333
0.006527778,0.0054667
0.006805556,0.0051333
0.007083333,0.0058
0.007361111,0.0054
0.007638889,0.0058667
0.007916667,0.0062667
0.008194444,0.0049333
0.008472222,0.0048
0.00875,0.0067333
0.009027778,0.0058667
0.009305556,0.0062
0.009583333,0.0054667
0.009861111,0.0063333
0.010138889,0.0054667
0.010416667,0.0052667
0.010694444,0.0061333
0.010972222,0.0053333
0.01125,0.0058
0.011527778,0.0058667
0.011805556,0.0067333
0.012083333,0.0059333
0.012361111,0.0053333
0.012638889,0.0054
0.012916667,0.006
0.013194444,0.0044
0.013472222,0.0046667
0.01375,0.0058667
0.014027778,0.0052667
0.014305556,0.0050667
0.014583333,0.0039333
0.014861111,0.0049333
0.015138889,0.0049333
0.015416667,0.0042667
0.015694444,0.0048667
0.015972222,0.0035333
0.01625,0.0041333
0.016527778,0.0042667
0.016805556,0.0043333
0.017083333,0.0038667
0.017361111,0.0032667
0.017638889,0.0039333
0.017916667,0.0028667
0.018194444,0.0022
0.018472222,0.0031333
0.01875,0.0027333
0.019027778,0.003
0.019305556,0.002
0.019583333,0.0023333
0.019861111,0.0020667
0.020138889,0.0028667
0.020416667,0.0019333
0.020694444,0.002
0.020972222,0.0016
0.02125,0.0017333
0.021527778,0.0015333
0.021805556,0.0012667
0.022083333,0.0014
0.022361111,0.0010667
0.022638889,0.0012
0.022916667,0.0015333
0.023194444,0.0015333
0.023472222,0.0013333
0.02375,0.0013333
0.024027778,0.0010667
0.024305556,0.001
0.024583333,0.00086667
0.024861111,0.0011333
0.025138889,0.00086667
0.025416667,0.00086667
0.025694444,0.00066667
0.025972222,0.001
0.02625,0.00066667
0.026527778,0.00033333
0.026805556,0.00053333
0.027083333,0.0011333
0.027361111,0.0012
0.027638889,0.00073333
0.027916667,0.0008
0.028194444,0.00093333
0.028472222,0.00046667
0.02875,0.00053333
0.029027778,0.00046667
0.029305556,0.00053333
0.029583333,0.00073333
0.029861111,0.0002
0.030138889,0.00066667
0.030416667,0.00073333
0.030694444,0.00093333
0.030972222,0.00046667
0.03125,0.00046667
0.031527778,0.00073333
0.031805556,0.00046667
0.032083333,0.00033333
0.032361111,0.00093333
0.032638889,0.0006
0.032916667,0.00053333
0.033194444,0.0008
0.033472222,0.0012
0.03375,0.0008
0.034027778,0.00046667
0.034305556,0.0008
0.034583333,0.0006
0.034861111,0.001
0.035138889,0.0004
0.035416667,0.0006
0.035694444,0.00066667
0.035972222,0.001
0.03625,0.0008
0.036527778,0.0012
0.036805556,0.001
0.037083333,0.0010667
0.037361111,0.00066667
0.037638889,0.0008
0.037916667,0.00093333
0.038194444,0.00086667
0.038472222,0.00086667
0.03875,0.00086667
0.039027778,0.0006
0.039305556,0.0008
0.039583333,0.00093333
0.039861111,0.0014667
0.040138889,0.00093333
0.040416667,0.0014
0.040694444,0.0013333
0.040972222,0.00086667
0.04125,0.0014
0.041527778,0.00093333
0.041805556,0.00093333
0.042083333,0.00046667
0.042361111,0.00053333
0.042638889,0.0012
0.042916667,0.00086667
0.043194444,0.001
0.043472222,0.00086667
0.04375,0.0010667
0.044027778,0.0014667
0.044305556,0.0014
0.044583333,0.001
0.044861111,0.0011333
0.045138889,0.0011333
0.045416667,0.0012667
0.045694444,0.0011333
0.045972222,0.0012
0.04625,0.0018
0.046527778,0.0014
0.046805556,0.0014
0.047083333,0.0014
0.047361111,0.0012667
0.047638889,0.0018667
