Distribution Type,Histogram
Use,EMISSIONS
Units,kg_wholegas
Gas Type,whole_gas
Emission Unit,kg
Time Basis,s
User Units,kg/s (wholegas)
Source,Plumes Matched to Production Facilities
Component,Tank Thief Hatch Large Emitters for Production Facilities
Survey Frequency,2 months
Leak Probability,3.62E-05
Mean Emissions (kg/s),5.98E-02
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.000138889,0.000775
0.000416667,0.000775
0.000694444,0.000725
0.000972222,0.00055
0.00125,0.000775
0.001527778,0.000875
0.001805556,0.000975
0.002083333,0.000775
0.002361111,0.001025
0.002638889,0.00055
0.002916667,0.0009
0.003194444,0.0009
0.003472222,0.00075
0.00375,0.000825
0.004027778,0.0009
0.004305556,0.001275
0.004583333,0.000775
0.004861111,0.001275
0.005138889,0.001175
0.005416667,0.001175
0.005694444,0.00095
0.005972222,0.00135
0.00625,0.0012
0.006527778,0.00155
0.006805556,0.001
0.007083333,0.0013
0.007361111,0.0013
0.007638889,0.00135
0.007916667,0.0012
0.008194444,0.001675
0.008472222,0.0011
0.00875,0.00135
0.009027778,0.0014
0.009305556,0.00175
0.009583333,0.001675
0.009861111,0.0016
0.010138889,0.001525
0.010416667,0.001275
0.010694444,0.0013
0.010972222,0.001625
0.01125,0.00155
0.011527778,0.001825
0.011805556,0.001525
0.012083333,0.001575
0.012361111,0.00195
0.012638889,0.001575
0.012916667,0.0018
0.013194444,0.0022
0.013472222,0.0014
0.01375,0.0022
0.014027778,0.001825
0.014305556,0.0019
0.014583333,0.001875
0.014861111,0.002375
0.015138889,0.0022
0.015416667,0.002025
0.015694444,0.0021
0.015972222,0.00215
0.01625,0.0023
0.016527778,0.002375
0.016805556,0.002425
0.017083333,0.0022
0.017361111,0.002
0.017638889,0.002925
0.017916667,0.002175
0.018194444,0.00225
0.018472222,0.002225
0.01875,0.00285
0.019027778,0.0024
0.019305556,0.00285
0.019583333,0.002375
0.019861111,0.002575
0.020138889,0.002325
0.020416667,0.0031
0.020694444,0.00295
0.020972222,0.0029
0.02125,0.002825
0.021527778,0.003325
0.021805556,0.003
0.022083333,0.00315
0.022361111,0.00265
0.022638889,0.003275
0.022916667,0.003575
0.023194444,0.002975
0.023472222,0.00325
0.02375,0.002925
0.024027778,0.0026
0.024305556,0.0032
0.024583333,0.002975
0.024861111,0.003675
0.025138889,0.0033
0.025416667,0.004025
0.025694444,0.00305
0.025972222,0.003325
0.02625,0.00305
0.026527778,0.00355
0.026805556,0.00315
0.027083333,0.00355
0.027361111,0.003375
0.027638889,0.0033
0.027916667,0.003425
0.028194444,0.00305
0.028472222,0.0037
0.02875,0.003575
0.029027778,0.00315
0.029305556,0.003375
0.029583333,0.0033
0.029861111,0.003625
0.030138889,0.0036
0.030416667,0.003175
0.030694444,0.0035
0.030972222,0.003625
0.03125,0.004
0.031527778,0.00315
0.031805556,0.003925
0.032083333,0.003575
0.032361111,0.00375
0.032638889,0.00305
0.032916667,0.00405
0.033194444,0.003425
0.033472222,0.004025
0.03375,0.004075
0.034027778,0.00385
0.034305556,0.003475
0.034583333,0.003975
0.034861111,0.004075
0.035138889,0.00395
0.035416667,0.00365
0.035694444,0.004125
0.035972222,0.0038
0.03625,0.00395
0.036527778,0.0039
0.036805556,0.004175
0.037083333,0.003925
0.037361111,0.003975
0.037638889,0.00355
0.037916667,0.003475
0.038194444,0.004
0.038472222,0.00385
0.03875,0.00435
0.039027778,0.0039
0.039305556,0.003775
0.039583333,0.003525
0.039861111,0.003775
0.040138889,0.0038
0.040416667,0.004025
0.040694444,0.003525
0.040972222,0.00345
0.04125,0.004225
0.041527778,0.0037
0.041805556,0.003725
0.042083333,0.004325
0.042361111,0.00385
0.042638889,0.0039
0.042916667,0.0037
0.043194444,0.0038
0.043472222,0.00405
0.04375,0.0038
0.044027778,0.00365
0.044305556,0.003775
0.044583333,0.003925
0.044861111,0.0036
0.045138889,0.00445
0.045416667,0.00395
0.045694444,0.003725
0.045972222,0.003225
0.04625,0.003775
0.046527778,0.0037
0.046805556,0.0036
0.047083333,0.0038
0.047361111,0.0035
0.047638889,0.0036
0.047916667,0.004175
0.048194444,0.003925
0.048472222,0.0036
0.04875,0.003675
0.049027778,0.0041
0.049305556,0.003225
0.049583333,0.0038
0.049861111,0.00345
0.050138889,0.0037
0.050416667,0.003725
