MajorEquipment,emitterModelFactorTag,factorTag,Emitter,activityDistribution,emissionDriver,notes,correctFactors,Unnamed: 8
ContinuousWells,Well_state_based_emitter,wellpad,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
ContinuousWells,Well_component_leak,wellpad,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
ContinuousWells,Well_pneumatic,wellpad,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
ContinuousWells,Well_state_based_emitter,C3,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
ContinuousWells,Well_component_leak,C3,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
ContinuousWells,Well_pneumatic,C3,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
ContinuousWells,Well_state_based_emitter,appalachian,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
ContinuousWells,Well_component_leak,appalachian,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen ,yes,
ContinuousWells,Well_pneumatic,appalachian,PneumaticEmitterProduction,Common/Allen/Appalachian/Allen_AP_WELLH_CONT_AF.csv,Common/Allen/Appalachian/Allen_AP_WELLH_ANY_EF.csv,allen ,yes,
ContinuousWells,Well_state_based_emitter,mid-continent,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
ContinuousWells,Well_component_leak,mid-continent,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
ContinuousWells,Well_pneumatic,mid-continent,PneumaticEmitterProduction,Common/Allen/Mid Continent/Allen_MC_COMPR_ANY_AF.csv,Common/Allen/Mid Continent/Allen_MC_ALLPNM_EF.csv,allen ,yes,
,,,,,,,,
CyclingWells,Cyc_Well_state_based_emitter,wellpad,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_component_leak,wellpad,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_pneumatic,wellpad,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
CyclingWells,Cyc_Well_state_based_emitter,C3,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
CyclingWells,Cyc_Well_component_leak,C3,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_pneumatic,C3,PneumaticEmitterProduction,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_AF.csv,Common/Allen/Rocky Mountain/Allen_RM_WELLH_ANY_EF.csv,allen ,yes,
CyclingWells,Cyc_Well_state_based_emitter,appalachian,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen ,yes,
CyclingWells,Cyc_Well_component_leak,appalachian,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen ,yes,
CyclingWells,Cyc_Well_pneumatic,appalachian,PneumaticEmitterProduction,Common/Allen/Appalachian/Allen_AP_WELLH_CONT_AF.csv,Common/Allen/Appalachian/Allen_AP_WELLH_ANY_EF.csv,allen ,yes,
CyclingWells,Cyc_Well_state_based_emitter,mid-continent,StateBasedEmitterProduction,,Production/WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes,
CyclingWells,Cyc_Well_component_leak,mid-continent,LeakProduction,,Production/Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes,
