Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et. al. aggregated emissions
Notes,Emission factors for continuous int pcs as classified in data
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0.000512024,0.527512135
0.001536073,0.028164849
0.002560122,0.06465244
0.003584171,0.073183006
0.00460822,0.033955112
0.005632269,0.033689988
0.006656318,0.029193873
0.007680366,0.043311034
0.008704415,0.036211482
0.009728464,0.01484484
0.010752513,0.011099562
0.011776562,0.005516529
0.012800611,0.004637435
0.01382466,0.004201006
0.014848708,0.002792556
0.015872757,0.002586513
0.016896806,0.003119135
0.017920855,0.003313302
0.018944904,0.002970987
0.019968953,0.002642626
0.020993002,0.002799681
0.02201705,0.003398213
0.023041099,0.003000676
0.024065148,0.00383108
0.025089197,0.006682717
0.026113246,0.011034246
0.027137295,0.010721323
0.028161344,0.005076537
0.029185392,0.00327055
0.030209441,0.003059757
0.03123349,0.002429161
0.032257539,0.001730577
0.033281588,0.003418401
0.034305637,0.004786178
0.035329686,0.003031553
0.036353734,0.002323171
0.037377783,0.001199439
0.038401832,0.000316189
0.039425881,7.24E-05
0.04044993,5.05E-05
0.041473979,4.42E-05
0.042498028,3.59E-05
0.043522076,2.91E-05
0.044546125,2.20E-05
0.045570174,1.75E-05
0.046594223,1.22E-05
0.047618272,5.05E-06
0.048642321,1.19E-06
0.04966637,1.48E-06
0.050690418,5.94E-07
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
