Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et. al. aggregated 
Notes,Emission factors high bleed pneumatics
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0.000493569,0.319121413
0.001480708,0.000261061
0.002467847,0.064303802
0.003454986,0.223096839
0.004442125,0.093753346
0.005429263,0.018463048
0.006416402,0.042192335
0.007403541,0.040622566
0.00839068,0.016770694
0.009377818,0.015793797
0.010364957,0.055844299
0.011352096,0.000556173
0.012339235,4.01E-05
0.013326374,7.34E-05
0.014313512,0.013245995
0.015300651,0.090643318
0.01628779,0.005039229
0.017274929,5.49E-05
0.018262068,2.31E-05
0.019249206,2.19E-05
0.020236345,1.44E-05
0.021223484,1.29E-05
0.022210623,1.14E-05
0.023197761,7.95E-06
0.0241849,3.03E-06
0.025172039,3.41E-06
0.026159178,3.78E-06
0.027146317,3.41E-06
0.028133455,1.14E-06
0.029120594,7.57E-07
0.030107733,7.57E-07
0.031094872,3.78E-07
0.03208201,1.89E-06
0.033069149,3.78E-07
0.034056288,0
0.035043427,7.57E-07
0.036030566,1.51E-06
0.037017704,3.78E-07
0.038004843,1.14E-06
0.038991982,1.14E-06
0.039979121,1.14E-06
0.04096626,3.78E-07
0.041953398,2.65E-06
0.042940537,1.14E-06
0.043927676,3.78E-07
0.044914815,1.14E-06
0.045901953,3.78E-07
0.046889092,3.78E-07
0.047876231,0
0.04886337,7.57E-07
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
