Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et. al. aggregated 
Notes,Emission Factors for actuated int pcs
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0.000843594,0.013898336
0.002485192,0.08559732
0.00412679,0.007250748
0.005768388,0.037036562
0.007409986,0.0535426
0.009051584,0.084545
0.010693182,0.069884373
0.01233478,0.00251787
0.013976378,0
0.015617976,0.001519449
0.017259574,0.023050961
0.018901172,0.020184028
0.02054277,0.030830435
0.022184368,0.03493192
0.023825966,0.039646831
0.025467564,0.090869191
0.027109162,0.123278108
0.02875076,0.024816806
0.030392358,0.011144335
0.032033956,0.016888467
0.033675554,0.023679786
0.035317152,0.035106451
0.03695875,0.025763895
0.038600348,0.006154794
0.040241946,0.002956765
0.041883544,0.017986987
0.043525142,0.038774175
0.04516674,0.0140472
0.046808338,0.033068542
0.048449936,0.015410084
0.050091534,0.001314118
0.051733133,0.000639092
0.053374731,0.000544127
0.055016329,0.001242252
0.056657927,0.001817178
0.058299525,0.002479371
0.059941123,0.001606714
0.061582721,0.001293585
0.063224319,0.00085469
0.064865917,0.000680159
0.066507515,0.00053386
0.068149113,0.000515894
0.069790711,0.00054156
0.071432309,0.000554393
0.073073907,0.000423495
0.074715505,0.00029003
0.076357103,0.000161698
0.077998701,7.96E-05
0.079640299,3.34E-05
0.081281897,1.28E-05
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
