Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et.al. aggregated emissions
Notes,Emission Factors for emissions between actuations
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0.000164191,0.870307703
0.000492573,9.90E-05
0.000820955,0.000350187
0.001149337,0.002356677
0.001477719,0.001320081
0.001806101,0.003091406
0.002134483,0.003797907
0.002462865,0.005280625
0.002791247,0.014795936
0.003119629,0.007466529
0.003448011,0.005387811
0.003776393,0.004772021
0.004104776,0.004567896
0.004433158,0.004141564
0.00476154,0.003070512
0.005089922,0.002912295
0.005418304,0.003565755
0.005746686,0.004566088
0.006075068,0.006958326
0.00640345,0.0096894
0.006731832,0.007514948
0.007060214,0.005073587
0.007388596,0.005669386
0.007716978,0.006640486
0.00804536,0.004373415
0.008373742,0.003535117
0.008702124,0.003476752
0.009030506,0.001717984
0.009358888,0.001207672
0.00968727,0.000564357
0.010015652,0.000253147
0.010344034,0.000231449
0.010672416,0.000102866
0.011000798,8.68E-05
0.01132918,9.31E-05
0.011657562,8.78E-05
0.011985944,8.20E-05
0.012314327,8.60E-05
0.012642709,9.56E-05
0.012971091,6.08E-05
0.013299473,6.13E-05
0.013627855,5.09E-05
0.013956237,5.40E-05
0.014284619,5.14E-05
0.014613001,6.14E-05
0.014941383,6.19E-05
0.015269765,6.30E-05
0.015598147,6.77E-05
0.015926529,4.19E-05
0.016254911,3.55E-05
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
