Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et.al. aggregated emissions
Notes,Emission factors for irregular int pcs as classified in data
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0.000821027,0.51944696
0.002463081,0.101048341
0.004105135,0.078364767
0.005747189,0.069730332
0.007389243,0.04946201
0.009031297,0.020545486
0.01067335,0.010224688
0.012315404,0.005672127
0.013957458,0.006971708
0.015599512,0.005886689
0.017241566,0.009164086
0.01888362,0.022322507
0.020525674,0.014063946
0.022167728,0.007735144
0.023809782,0.007332256
0.025451836,0.012611106
0.02709389,0.016661549
0.028735944,0.006657658
0.030377998,0.004718547
0.032020051,0.002955813
0.033662105,0.005965397
0.035304159,0.00487778
0.036946213,0.002583836
0.038588267,0.000550172
0.040230321,0.000210666
0.041872375,0.001747668
0.043514429,0.00391277
0.045156483,0.001375951
0.046798537,0.003386236
0.048440591,0.001740654
0.050082645,0.000451983
0.051724699,0.00048809
0.053366752,0.000470166
0.055008806,0.000235083
0.05665086,0.000137673
0.058292914,0.00011897
0.059934968,6.42E-05
0.061577022,4.34E-05
0.063219076,2.13E-05
0.06486113,6.23E-06
0.066503184,3.90E-06
0.068145238,2.60E-06
0.069787292,3.90E-06
0.071429346,3.64E-06
0.0730714,4.16E-06
0.074713453,3.90E-06
0.076355507,3.90E-06
0.077997561,5.45E-06
0.079639615,3.38E-06
0.081281669,1.30E-06
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
