Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et. al. aggregated emission factors
Notes,Emission Factors for low bleed abnormal emissions
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
1.67E-05,0.92000342
5.00E-05,0.010819053
8.33E-05,0.006678487
0.000116666,0.004722761
0.000149999,0.003399411
0.000183333,0.002590742
0.000216666,0.002066486
0.000249999,0.001684024
0.000283332,0.001539424
0.000316665,0.001447151
0.000349998,0.001405719
0.000383332,0.001337546
0.000416665,0.001267227
0.000449998,0.001186674
0.000483331,0.001134017
0.000516664,0.001098528
0.000549998,0.001023917
0.000583331,0.000987272
0.000616664,0.000980174
0.000649997,0.000972581
0.00068333,0.000993709
0.000716664,0.000994205
0.000749997,0.001004439
0.00078333,0.001035307
0.000816663,0.00109308
0.000849996,0.001176935
0.000883329,0.001246759
0.000916663,0.001297435
0.000949996,0.001422721
0.000983329,0.00152787
0.001016662,0.001595217
0.001049995,0.001647709
0.001083329,0.001717533
0.001116662,0.001697394
0.001149995,0.001669828
0.001183328,0.001666031
0.001216661,0.001532326
0.001249995,0.001404564
0.001283328,0.001257488
0.001316661,0.001098528
0.001349994,0.000969609
0.001383327,0.000866937
0.00141666,0.000751059
0.001449994,0.000688334
0.001483327,0.00065466
0.00151666,0.000586982
0.001549993,0.000564698
0.001583326,0.000517818
0.00161666,0.000501642
0.001649993,0.000474571
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
