Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Prajay Vora
Data Origin 1,Ben Luck et.al. aggregated emissions 
Notes,Emission Factors for all emission data from intermittent pcs
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0.000821027,0.748524634
0.002463081,0.064864325
0.004105135,0.037274836
0.005747189,0.033306862
0.007389243,0.029997149
0.009031297,0.016647618
0.01067335,0.007674864
0.012315404,0.004641961
0.013957458,0.004273925
0.015599512,0.003471446
0.017241566,0.004199692
0.01888362,0.007672852
0.020525674,0.005143184
0.022167728,0.003151707
0.023809782,0.003027165
0.025451836,0.004786253
0.02709389,0.005709771
0.028735944,0.002456553
0.030377998,0.001741872
0.032020051,0.001175657
0.033662105,0.001971577
0.035304159,0.001631416
0.036946213,0.000947368
0.038588267,0.000317205
0.040230321,0.000210476
0.041872375,0.000619132
0.043514429,0.001236698
0.045156483,0.00051136
0.046798537,0.00108145
0.048440591,0.000605344
0.050082645,0.000215023
0.051724699,0.000213681
0.053366752,0.000197657
0.055008806,0.000122231
0.05665086,8.44E-05
0.058292914,7.22E-05
0.059934968,4.65E-05
0.061577022,3.79E-05
0.063219076,2.49E-05
0.06486113,1.98E-05
0.066503184,1.54E-05
0.068145238,1.51E-05
0.069787292,1.57E-05
0.071429346,1.62E-05
0.0730714,1.22E-05
0.074713453,8.50E-06
0.076355507,4.70E-06
0.077997561,2.31E-06
0.079639615,9.69E-07
0.081281669,3.73E-07
2.36E-03,0.010309278
2.68E-03,0.010309278
3.06E-03,0.010309278
4.03E-03,0.010309278
4.16E-03,0.010309278
1.04E-02,0.010309278
1.41E-02,0.010309278
