Distribution Type,"Histogram"
Use,"EMISSIONS"
Units,"scf_wholegas"
Gas Type,"whole_gas"
Emission Unit,"scf"
Time Basis,"s"
Activity Basis,"Component"
User Units,"scfs (wholegas)"
Source,"Simulated by CSU using data from doi: 10.1021/acs.est.0c00516"
Component,"All Components: Connector Flanged, Connector Threaded, OEL, PRV, Regulator and Valve"
Notes,""
Mean of Leaking,"0.0017552"
Est Average Factor,"1.078e-05"
Emission Factor Type,"Simulated Leaker"
Leak Probability,"0.0061416"
Survey Frequency,"Annual (estimated)"
%%%ENDOFMETADATA%%%,""
EmissionRate,Probability
5e-06,0.053887369077819
1.5e-05,0.0288613480970195
2.5e-05,0.0832278133472005
3.5e-05,0.0674107657401956
4.5e-05,0.0621090558448374
5.5e-05,0.0298932352483699
6.5e-05,0.0491424466260168
7.5e-05,0.0342949413231079
8.5e-05,0.007128893495658
9.5e-05,0.00675050823039906
0.000105,0.00550920633570718
0.000115,0.00453902459728026
0.000125,0.00181359562077004
0.000135,0.00651343795224992
0.000145,0.00566490859526029
0.000155,0.00372134794675239
0.000165,0.00321779341123668
0.000175,0.00242841172984731
0.000185,0.00437229209552062
0.000195,0.00180911958045435
0.000205,0.00320628359328204
0.000215,0.00318646112902682
0.000225,0.00284244545904911
0.000235,0.000701939036650617
0.000245,0.00363886091807743
0.000255,0.00399694414333304
0.000265,0.00127663064146933
0.000275,0.00356996186893227
0.000285,0.00329900157125001
0.000295,0.00393731689198468
0.000305,0.000678439824993218
0.000315,0.00418493783659224
0.000325,0.00293900004300196
0.000335,0.000688351057120829
0.000345,0.00180480339872136
0.000355,0.00124849553091353
0.000365,0.00165053986641258
0.000375,0.000696343986255999
0.000385,0.002338571206368
0.000395,0.00206537288852789
0.000405,0.00197729080945832
0.000415,0.00095099870850251
0.000425,0.00216288662397696
0.000435,0.00283013634818095
0.000445,0.00127950809595799
0.000455,0.00280407939920029
0.000465,0.00346365591143451
0.000475,0.00431666130873984
0.000485,0.00230420161108677
0.000495,0.00491948802411435
0.000505,0.00466291499887539
0.000515,0.0018964023666104
0.000525,0.00339139983205257
0.000535,0.00307008408081874
0.000545,0.00319797094698146
0.000555,0.00227159046021528
0.000565,0.00405033690995598
0.000575,0.00419165189706578
0.000585,0.00277818230880234
0.000595,0.00494346681151986
0.000605,0.00448339381049948
0.000615,0.00398479489104758
0.000625,0.00225704332918927
0.000635,0.00460504619193676
0.000645,0.00555844277917983
0.000655,0.00562654253541147
0.000665,0.0030728016767247
0.000675,0.00389671281197801
0.000685,0.00285043838818428
0.000695,0.00142274138606024
0.000705,0.00178865768186831
0.000715,0.00148460665756645
0.000725,0.00143329205251866
0.000735,0.000966345132442036
0.000745,0.00146654263772097
0.000755,0.00138677320495197
0.000765,0.000949719839840883
0.000775,0.00110925870537887
0.000785,0.00102293507071904
0.000795,0.00110318407923614
0.000805,0.000845172326752861
0.000815,0.00124066246036107
0.000825,0.00163982934137145
0.000835,0.00108767779671391
0.000845,0.00202460894993853
0.000855,0.00213970712948497
0.000865,0.0018257448730555
0.000875,0.00136423314479079
0.000885,0.00153959801001642
0.000895,0.00154679164623807
0.000905,0.0013974837299931
0.000915,0.000943805072280857
0.000925,0.00161904772562001
0.000935,0.00176499861162821
0.000945,0.00131659528714518
0.000955,0.00227079116730176
0.000965,0.00228453900541425
0.000975,0.00230675934841002
0.000985,0.000972259900002062
0.000995,0.00216976054303321
0.001005,0.00189592279086229
0.001015,0.000758369116344917
0.001025,0.00158259996876363
0.001035,0.00146174688023986
0.001045,0.00150538827331789
0.001055,0.000982011273546969
0.001065,0.00164782227050662
0.001075,0.00156965142356466
0.001085,0.00124417934918054
0.001095,0.00218638583563436
0.001105,0.00224713209706166
0.001115,0.0021598493109056
0.001125,0.00102469351512878
0.001135,0.00192357832566998
0.001145,0.0017972900453343
0.001155,0.00178578022737965
0.001165,0.000722880510984762
0.001175,0.00146190673882257
0.001185,0.00134233251896043
0.001195,0.000579007786551705
0.001205,0.00118726969373813
0.001215,0.00128302498477747
0.001225,0.00134680855927612
0.001235,0.000581725382457663
0.001245,0.00143632936559002
0.001255,0.00140627595204179
0.001265,0.000732951601695076
0.001275,0.00173238746075672
0.001285,0.00179984778265755
0.001295,0.00199183794048433
0.001305,0.00104691385812455
0.001315,0.00198944006174378
0.001325,0.00215633242208613
0.001335,0.000970021879844215
0.001345,0.00205386307057325
0.001355,0.00194915569890252
0.001365,0.00171975863272315
0.001375,0.000813520327377589
0.001385,0.00129725239863807
0.001395,0.00152696918198285
0.001405,0.00144240399173275
0.001415,0.000586840857104171
0.001425,0.00144112512307113
0.001435,0.00136519229628701
0.001445,0.000615295684825376
0.001455,0.00140355835613583
0.001465,0.00141314987109803
0.001475,0.00132155090320899
0.001485,0.000457035687949013
0.001495,0.00120389498633928
0.001505,0.00124433920776324
0.001515,0.000445206152828961
0.001525,0.00110382351356696
0.001535,0.00111581290726971
