Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,One per Compressor
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.0c00516 File: AvgFactor.xlsx Sheet: C Starter Vent
Component,Compressor Starter Vent
Notes,Zero emissions may mean no emission location of this type or no emissions detected on known location
Mean of Leaking,162.8727
Est Average Factor,18.3519
Emission Factor Type,Leaker
Leak Probability,0.11268
Survey Frequency,Annual (estimated)
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0.000555555555555556,0.758382326593028
0.00166666666666667,0.0373793224138434
0.00277777777777778,0.0657127738032242
0.00388888888888889,0.0146542277259489
0.005,0.0231500964587352
0.00611111111111111,0.0236500985420773
0.00722222222222222,0.00409168371534881
0.00833333333333333,0.00072083633681807
0.00944444444444444,0.00467085279521998
0.0105555555555556,0.00151250630210959
0.015,0.000754169809040871
0.0161111111111111,0.00633752640636003
0.0172222222222222,0.00103750432293468
0.0272222222222222,0.00115000479168663
0.0283333333333333,0.00735836399318331
0.0294444444444444,0.00395834982645761
0.0305555555555556,0.000762503177096571
0.0316666666666667,0.000404168350701461
0.0327777777777778,0.000995837482656178
0.0338888888888889,0.00510418793411639
0.035,0.00689169538206409
0.0361111111111111,0.00107500447918533
0.0372222222222222,7.0833628473452e-05
0.0383333333333333,5.00002083342014e-05
0.0394444444444444,0.000258334409726707
0.0405555555555556,0.000500002083342014
0.0416666666666667,0.000412501718757161
0.0427777777777778,7.91669965291522e-05
0.0438888888888889,2.91667881949508e-05
0.123888888888889,2.50001041671007e-05
0.125,4.16668402785012e-05
0.126111111111111,0.000104167100696253
0.127222222222222,0.000133333888891204
0.128333333333333,0.000183334097225405
0.129444444444444,0.000466668611119213
0.130555555555556,0.000504168767369864
0.131666666666667,0.000483335347230613
0.132777777777778,0.000637502656261068
0.133888888888889,0.000516668819453414
0.135,0.000425001770840712
0.136111111111111,0.000187500781253255
0.137222222222222,0.000150000625002604
0.138333333333333,4.16668402785012e-05
0.139444444444444,8.33336805570023e-06
0.798333333333333,1.25000520835503e-05
0.819444444444444,4.16668402785012e-06
0.829444444444444,4.16668402785012e-06
0.840555555555556,1.25000520835503e-05
0.855,4.16668402785012e-06
0.865,1.25000520835503e-05
0.876111111111111,4.16668402785012e-06
0.880555555555556,4.16668402785012e-06
0.895,8.33336805570023e-06
0.896111111111111,8.33336805570023e-06
0.900555555555556,2.91667881949508e-05
0.908333333333333,8.33336805570023e-06
0.912777777777778,4.16668402785012e-06
0.913888888888889,4.16668402785012e-06
0.916111111111111,2.50001041671007e-05
0.922777777777778,4.16668402785012e-06
0.923888888888889,1.25000520835503e-05
0.925,1.25000520835503e-05
0.927222222222222,4.16668402785012e-06
0.928333333333333,4.16668402785012e-06
0.930555555555556,2.50001041671007e-05
0.931666666666667,8.33336805570023e-06
0.933888888888889,8.33336805570023e-06
0.938333333333333,1.25000520835503e-05
0.947222222222222,4.16668402785012e-06
0.948333333333333,8.33336805570023e-06
0.949444444444444,1.25000520835503e-05
0.950555555555556,1.25000520835503e-05
0.951666666666667,8.33336805570023e-06
0.953888888888889,1.66667361114005e-05
0.955,1.25000520835503e-05
0.958333333333333,4.16668402785012e-06
0.959444444444444,8.33336805570023e-06
0.961666666666667,8.33336805570023e-06
0.962777777777778,1.25000520835503e-05
0.963888888888889,8.33336805570023e-06
0.965,8.33336805570023e-06
0.967222222222222,4.16668402785012e-06
0.968333333333333,4.16668402785012e-06
0.970555555555556,8.33336805570023e-06
0.971666666666667,8.33336805570023e-06
0.972777777777778,4.16668402785012e-06
0.973888888888889,4.16668402785012e-06
0.982777777777778,2.08334201392506e-05
0.983888888888889,8.33336805570023e-06
0.987222222222222,4.16668402785012e-06
0.990555555555556,4.16668402785012e-06
0.991666666666667,8.33336805570023e-06
0.992777777777778,8.33336805570023e-06
0.993888888888889,2.08334201392506e-05
0.995,1.66667361114005e-05
0.996111111111111,4.16668402785012e-06
0.997222222222222,1.66667361114005e-05
0.998333333333333,4.16668402785012e-06
1.00055555555556,4.16668402785012e-06
1.00166666666667,4.16668402785012e-06
1.00277777777778,4.16668402785012e-06
1.00388888888889,8.33336805570023e-06
1.00611111111111,8.33336805570023e-06
1.00833333333333,1.25000520835503e-05
1.00944444444444,8.33336805570023e-06
1.01055555555556,2.08334201392506e-05
1.01166666666667,1.25000520835503e-05
1.01277777777778,8.33336805570023e-06
1.01388888888889,4.16668402785012e-06
1.01611111111111,8.33336805570023e-06
1.01944444444444,2.08334201392506e-05
1.02166666666667,8.33336805570023e-06
1.025,1.25000520835503e-05
1.02611111111111,5.83335763899016e-05
1.02722222222222,4.16668402785012e-06
1.02833333333333,1.66667361114005e-05
1.02944444444444,2.91667881949508e-05
1.03055555555556,2.50001041671007e-05
1.03166666666667,8.33336805570023e-06
1.03277777777778,1.25000520835503e-05
1.03388888888889,1.66667361114005e-05
