Distribution Type,"Lognormal"
Use,"EMISSIONS"
Units,"scf_wholegas"
Emission Factor Type,"Leaker"
Gas Type,"whole_gas"
Emission Unit,"scf"
Time Basis,"s"
Activity Basis,"One per Station"
User Units,"scfs (wholegas)"
Source,"doi: 10.1021/acs.est.0c00516 File: AvgFactor.xlsx Sheet: C Blowdown Vent"
Component,"Multi-Unit Vent"
Notes,"Use either this factor with activity of one per station, or tank single-unit vent distribution"
Mean of Leaking,"1.3791"
Large Emitters Detected,"3"
Locations Screened,"22"
Activity Count,"132"
Leak Probability,"0.022727"
Survey Frequency,"Annual (estimated)"
%%%ENDOFMETADATA%%%,""
mu,sigma
-0.3596461,1.16713762
