Distribution Type,Lognormal
Use,EMISSIONS
Units,scf_wholegas
Emission Factor Type,Leaker
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,One per Tank
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.0c00516 File: AvgFactor.xlsx Sheet: C Blowdown Vent
Component,Thief Hatch
Notes,
Mean of Leaking,0.67114
Large Emitters Detected,1
Locations Screened,120
Activity Count,251
Leak Probability,0.0039841
Survey Frequency,Annual (estimated)
%%%ENDOFMETADATA%%%,
mu,sigma
-0.76540322,0.85630076
