Distribution Type,"Histogram"
Use,"EMISSIONS"
Units,"scf_wholegas"
Gas Type,"whole_gas"
Emission Unit,"scf"
Time Basis,"s"
Activity Basis,"All Meter,PRV"
User Units,"scfs (wholegas)"
Source,"doi: 10.1021/acs.est.5b01669 File: CDFMaster.xlsx Sheet: Other"
Component,"All PRV"
Emission Factor Type:,"Leaker"
Number Estimate,"1"
Number Hi Flow,"6"
Number High Flow,"9"
Number Method Not Reported,"85"
%%%ENDOFMETADATA%%%,""
EmissionRate,Probability
0.000144445,0.0099009900990099
0.000148093333333333,0.0099009900990099
0.000155606666666667,0.0099009900990099
0.000158333333333333,0.0198019801980198
0.000158381666666667,0.0099009900990099
0.000161111666666667,0.0099009900990099
0.000163888333333333,0.0198019801980198
0.000166666666666667,0.0891089108910891
0.00016945,0.0198019801980198
0.000316666666666667,0.0099009900990099
0.00031945,0.0099009900990099
0.000333333333333333,0.0198019801980198
0.00035,0.0099009900990099
0.000441866666666667,0.0099009900990099
0.000458333333333333,0.0099009900990099
0.000472216666666667,0.0099009900990099
0.000473266666666667,0.0099009900990099
0.000481116666666667,0.0099009900990099
0.00049445,0.0198019801980198
0.000497883333333333,0.0099009900990099
0.0005,0.0396039603960396
0.000502783333333333,0.0099009900990099
0.000511116666666667,0.0099009900990099
0.000641633333333333,0.0099009900990099
0.000666666666666667,0.0396039603960396
0.000675,0.0099009900990099
0.000777783333333333,0.0099009900990099
0.00079445,0.0099009900990099
0.000833333333333333,0.0594059405940594
0.00084445,0.0099009900990099
0.00085,0.0099009900990099
0.000933333333333333,0.0099009900990099
0.001,0.0297029702970297
0.00101111666666667,0.0099009900990099
0.00110278333333333,0.0099009900990099
0.00111388333333333,0.0099009900990099
0.00118333333333333,0.0099009900990099
0.00121156666666667,0.0099009900990099
0.00126111666666667,0.0099009900990099
0.00132768333333333,0.0099009900990099
0.00133333333333333,0.0297029702970297
0.00146945,0.0099009900990099
0.00156945,0.0198019801980198
0.0016596,0.0099009900990099
0.00183333333333333,0.0099009900990099
0.00191466666666667,0.0099009900990099
0.00216666666666667,0.0198019801980198
0.00220933333333333,0.0099009900990099
0.00223616666666667,0.0099009900990099
0.00235283333333333,0.0099009900990099
0.0024695,0.0099009900990099
0.00316666666666667,0.0099009900990099
0.00370283333333333,0.0099009900990099
0.003849,0.0099009900990099
0.00389166666666667,0.0099009900990099
0.0040195,0.0099009900990099
0.0045,0.0099009900990099
0.0051415,0.0099009900990099
0.00544716666666667,0.0099009900990099
0.00583333333333333,0.0099009900990099
0.0062805,0.0099009900990099
0.0085,0.0099009900990099
0.0152916666666667,0.0099009900990099
0.0158333333333333,0.0099009900990099
0.0193166666666667,0.0099009900990099
0.0245,0.0099009900990099
0.0350983333333333,0.0099009900990099
0.0733333333333333,0.0099009900990099
0.0756666666666667,0.0099009900990099
0.0925,0.0099009900990099
0.0943583333333333,0.0099009900990099
