Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,Unit
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.5b01669 File: CDFMaster.xlsx Sheet: CentIsolation_NOD
Component,Centrifugal IsolationValve (NOD)
Emission Factor Type:,Leaker
Number Anemometer,3
Number Calibrated Bag,1
Number Combined,12
Number Estimate,1
Number FLIR,1
Number Hi Flow,5
Number Method Not Reported,72
Number Turbine Meter,1
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0,0.3125
0.000147286833333333,0.0104166666666667
0.000168605,0.0104166666666667
0.000203651666666667,0.03125
0.00300625,0.0104166666666667
0.00365865,0.0104166666666667
0.00486073333333333,0.0104166666666667
0.00568173333333333,0.0104166666666667
0.00603986666666667,0.0104166666666667
0.0060415,0.0104166666666667
0.00605113333333333,0.0104166666666667
0.00651356666666667,0.0104166666666667
0.00660893333333333,0.0104166666666667
0.00779685,0.0104166666666667
0.00881135,0.0104166666666667
0.0089678,0.0104166666666667
0.0122290166666667,0.0104166666666667
0.0128601,0.0104166666666667
0.0159164166666667,0.0104166666666667
0.0171565,0.0104166666666667
0.0197911666666667,0.0104166666666667
0.0216908333333333,0.0104166666666667
0.0224105,0.0104166666666667
0.0235093333333333,0.0104166666666667
0.0239081666666667,0.09375
0.0240115,0.0104166666666667
0.024458,0.0104166666666667
0.0249841666666667,0.0104166666666667
0.0269336666666667,0.0104166666666667
0.0299453333333333,0.0104166666666667
0.0300973333333333,0.0104166666666667
0.03066,0.0104166666666667
0.0322668333333333,0.0104166666666667
0.0329963333333333,0.0104166666666667
0.0345716666666667,0.0104166666666667
0.0367281666666667,0.0104166666666667
0.0423621666666667,0.0104166666666667
0.0426311666666667,0.0104166666666667
0.0445006666666667,0.0104166666666667
0.0446666666666667,0.0104166666666667
0.0525613333333333,0.0104166666666667
0.056116,0.0104166666666667
0.0611533333333333,0.0104166666666667
0.073292,0.0104166666666667
0.0735766666666667,0.0104166666666667
0.0756885,0.0104166666666667
0.0823238333333333,0.0104166666666667
0.0843181666666667,0.0104166666666667
0.1183875,0.0208333333333333
0.128083333333333,0.0104166666666667
0.136081833333333,0.0104166666666667
0.191113333333333,0.0104166666666667
0.19778,0.0104166666666667
0.20487,0.0104166666666667
0.34216,0.0104166666666667
0.427778333333333,0.0104166666666667
