Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,Unit
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.5b01669 File: CDFMaster.xlsx Sheet: CentWetSeal_OP
Component,Centrifugal WetSealVent (OP)
Emission Factor Type:,Leaker
Number Anemometer,8
Number Method Not Reported,20
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0,0.321428571428571
0.0001588465,0.0357142857142857
0.000461276666666667,0.0357142857142857
0.000650301666666667,0.0357142857142857
0.001508505,0.0357142857142857
0.0023382,0.0357142857142857
0.00385345,0.0357142857142857
0.0094402,0.0357142857142857
0.00976373333333333,0.0357142857142857
0.0116816166666667,0.0357142857142857
0.0145162333333333,0.0357142857142857
0.0158155,0.0357142857142857
0.0571463333333333,0.0357142857142857
0.0759741666666667,0.0357142857142857
0.329111666666667,0.0357142857142857
0.445541666666667,0.0357142857142857
0.517693333333333,0.0357142857142857
0.537851666666667,0.0357142857142857
0.70882,0.0357142857142857
0.88457,0.0357142857142857
