Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,Component
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.5b01669 File: CDFMaster.xlsx Sheet: CC OEL
Component,Compressor OEL
Emission Factor Type:,Leaker
Number Calibrated Bag,1
Number Combined,9
Number Hi Flow,71
Number Turbine Meter,11
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
0,0.0326086956521739
2.61251666666667e-06,0.0108695652173913
0.000160374666666667,0.0217391304347826
0.000162613166666667,0.0108695652173913
0.000163491166666667,0.0108695652173913
0.00016767,0.0108695652173913
0.00032075,0.0108695652173913
0.000325226666666667,0.0108695652173913
0.000341005,0.0108695652173913
0.000492546666666667,0.0217391304347826
0.000503011666666667,0.0108695652173913
0.000509951666666667,0.0108695652173913
0.000641498333333333,0.0108695652173913
0.000682008333333333,0.0108695652173913
0.000838351666666667,0.0217391304347826
0.000849918333333333,0.0108695652173913
0.00099878,0.0108695652173913
0.00100602166666667,0.0217391304347826
0.00106357833333333,0.0108695652173913
0.00116991,0.0217391304347826
0.00136401833333333,0.0108695652173913
0.00150903333333333,0.0108695652173913
0.00160374666666667,0.0108695652173913
0.0016767,0.0108695652173913
0.00169983333333333,0.0217391304347826
0.00199151666666667,0.0108695652173913
0.0020398,0.0108695652173913
0.00237976666666667,0.0108695652173913
0.00272636666666667,0.0108695652173913
0.0028504,0.0108695652173913
0.00323955,0.0108695652173913
0.00326981666666667,0.0108695652173913
0.00368861666666667,0.0108695652173913
0.00373963333333333,0.0108695652173913
0.00449451666666667,0.0108695652173913
0.00548628333333333,0.0108695652173913
0.0062038,0.0108695652173913
0.00646193333333333,0.0108695652173913
0.0065313,0.0108695652173913
0.00673573333333333,0.0108695652173913
0.0069906,0.0217391304347826
0.0073093,0.0108695652173913
0.0073316,0.0108695652173913
0.0081567,0.0108695652173913
0.01125315,0.0108695652173913
0.0122788333333333,0.0108695652173913
0.0123736166666667,0.0108695652173913
0.0125788,0.0108695652173913
0.0138106833333333,0.0108695652173913
0.0141562,0.0108695652173913
0.0163787333333333,0.0108695652173913
0.0164884166666667,0.0108695652173913
0.0185488333333333,0.0108695652173913
0.0206308333333333,0.0108695652173913
0.0226043333333333,0.0108695652173913
0.0227288333333333,0.0108695652173913
0.0239081666666667,0.0978260869565217
0.0261898333333333,0.0108695652173913
0.0315875,0.0108695652173913
0.0319866666666667,0.0108695652173913
0.0329963333333333,0.0108695652173913
0.0330006666666667,0.0108695652173913
0.0384398333333333,0.0108695652173913
0.0398705,0.0108695652173913
0.0477655,0.0108695652173913
0.0548628333333333,0.0108695652173913
0.0762855,0.0108695652173913
0.0803758333333333,0.0108695652173913
0.0813923333333333,0.0108695652173913
0.0835866666666667,0.0108695652173913
0.113342333333333,0.0108695652173913
0.142382166666667,0.0108695652173913
0.1436885,0.0108695652173913
0.855153333333333,0.0108695652173913
1.257385,0.0108695652173913
