Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
Activity Basis,Unit
User Units,scfs (wholegas)
Source,doi: 10.1021/acs.est.5b01669 File: CDFMaster.xlsx Sheet: TransTank
Component,Tank TankVent
Emission Factor Type:,Leaker
Number Anemometer,3
Number Estimate,1
Number Hi Flow,6
Number Method Not Reported,23
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
2.5e-05,0.0303030303030303
0.000147286833333333,0.0303030303030303
0.000457288333333333,0.0303030303030303
0.0005,0.0303030303030303
0.000833333333333333,0.0303030303030303
0.00116666666666667,0.0303030303030303
0.00233333333333333,0.0606060606060606
0.0034604,0.0303030303030303
0.00445,0.0303030303030303
0.0045,0.0303030303030303
0.0108333333333333,0.0303030303030303
0.0118610833333333,0.0303030303030303
0.0173333333333333,0.0303030303030303
0.0178333333333333,0.0303030303030303
0.0341666666666667,0.0303030303030303
0.0353333333333333,0.0303030303030303
0.0466666666666667,0.0303030303030303
0.0475955,0.0303030303030303
0.0626468333333333,0.0303030303030303
0.0716666666666667,0.0303030303030303
0.0723915,0.0303030303030303
0.0773333333333333,0.0303030303030303
0.0776666666666667,0.0303030303030303
0.0866666666666667,0.0303030303030303
0.0958555,0.0303030303030303
0.105833333333333,0.0303030303030303
0.1201755,0.0303030303030303
0.122666666666667,0.0303030303030303
0.1251935,0.0303030303030303
0.154736166666667,0.0303030303030303
0.189,0.0303030303030303
0.197941666666667,0.0303030303030303
