Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Chiemezie Ilonze
Data Origin 1,"Bell, et al. 2017. Comparison of methane emission estimates from multiple measurement techniques at natural gas production pads"
Data Origin 2,David Allen et al. 2013. Measurements of methane emissions at natural gas production sites in the United States
Data Origin 3,Eastern Research Group (ERG). 2011. City of Fort Worth Natural Gas Air Quality Study
Data Origin 4,Eastern Research Group (ERG). 2011. City of Fort Worth Natural Gas Air Quality Study
Data Origin 5,Kuo et al. 2012. Estimation of Methane Emissions from the California Natural Gas System
Data Origin 6,Ravikumar et al. 2020. Methane Emissions Over Scale of Years
Notes,"Emission factors for wellheads for all studies with filter on Leaks as ""Y"""
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0,0.077777778
2.79E-07,0.005555556
9.83E-07,0.005555556
1.09E-06,0.005555556
1.57E-06,0.016666667
1.67E-06,0.005555556
1.77E-06,0.005555556
1.90E-06,0.005555556
1.91E-06,0.005555556
2.72E-06,0.011111111
3.49E-06,0.005555556
3.61E-06,0.005555556
3.63E-06,0.005555556
3.89E-06,0.005555556
4.36E-06,0.005555556
4.40E-06,0.005555556
4.45E-06,0.005555556
5.28E-06,0.005555556
5.86E-06,0.005555556
7.05E-06,0.005555556
8.45E-06,0.011111111
9.52E-06,0.005555556
1.04E-05,0.005555556
1.05E-05,0.005555556
1.09E-05,0.005555556
1.15E-05,0.011111111
1.16E-05,0.005555556
1.19E-05,0.005555556
1.22E-05,0.005555556
1.24E-05,0.005555556
1.33E-05,0.005555556
1.36E-05,0.005555556
1.38E-05,0.005555556
1.40E-05,0.005555556
1.52E-05,0.005555556
1.64E-05,0.005555556
2.04E-05,0.005555556
2.06E-05,0.005555556
2.22E-05,0.005555556
2.32E-05,0.005555556
2.33E-05,0.005555556
2.36E-05,0.005555556
2.36E-05,0.005555556
2.46E-05,0.005555556
2.63E-05,0.005555556
2.67E-05,0.005555556
2.84E-05,0.005555556
2.90E-05,0.005555556
3.53E-05,0.005555556
4.13E-05,0.005555556
4.66E-05,0.005555556
4.87E-05,0.005555556
5.13E-05,0.005555556
5.24E-05,0.005555556
5.44E-05,0.005555556
6.01E-05,0.005555556
6.05E-05,0.005555556
8.33E-05,0.022222222
9.01E-05,0.011111111
9.19E-05,0.005555556
9.98E-05,0.005555556
1.20E-04,0.033333333
1.67E-04,0.1
1.70E-04,0.05
1.80E-04,0.016666667
2.40E-04,0.005555556
2.70E-04,0.005555556
2.92E-04,0.005555556
3.33E-04,0.022222222
3.40E-04,0.011111111
3.91E-04,0.011111111
5.00E-04,0.022222222
5.10E-04,0.005555556
5.11E-04,0.005555556
5.72E-04,0.005555556
6.67E-04,0.011111111
6.81E-04,0.011111111
8.33E-04,0.005555556
8.51E-04,0.005555556
9.61E-04,0.005555556
9.91E-04,0.005555556
1.00E-03,0.016666667
1.02E-03,0.005555556
0.001021384,0.005555556
1.17E-03,0.011111111
0.001190921,0.005555556
1.26E-03,0.005555556
0.001333333,0.011111111
1.47E-03,0.005555556
1.50E-03,0.005555556
1.67E-03,0.005555556
1.77E-03,0.005555556
1.83E-03,0.005555556
1.95E-03,0.005555556
1.97E-03,0.005555556
2.43E-03,0.005555556
2.49E-03,0.005555556
2.62E-03,0.005555556
2.67E-03,0.005555556
2.88E-03,0.005555556
2.91E-03,0.005555556
3.00E-03,0.005555556
3.18E-03,0.005555556
3.33E-03,0.005555556
4.00E-03,0.011111111
4.76E-03,0.005555556
4.85E-03,0.005555556
0.005,0.005555556
9.50E-03,0.005555556
3.71E-02,0.005555556
0.0375,0.005555556
