Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (GC Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.032915971866056666,0.07692307692307693
0.011222340907457742,0.07692307692307693
0.014230854456252932,0.07692307692307693
0.01669428073176706,0.07692307692307693
0.041577279948068875,0.07692307692307693
0.012464227768658825,0.07692307692307693
0.00948107705257967,0.07692307692307693
0.010464624468540143,0.07692307692307693
0.001846257177010633,0.07692307692307693
0.0016691945083843092,0.07692307692307693
0.017986618298119633,0.07692307692307693
0.0021630556873697103,0.07692307692307693
0.004665168615500302,0.07692307692307693
