Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (MC Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.001754501925203632,0.09090909090909091
0.005302303086552176,0.09090909090909091
0.004830591018955111,0.09090909090909091
0.00506687079041279,0.09090909090909091
0.002521599662086857,0.09090909090909091
0.004154286817570904,0.09090909090909091
0.004592009259027057,0.09090909090909091
0.01039052422777675,0.09090909090909091
0.006690248627173542,0.09090909090909091
0.0056000959992371846,0.09090909090909091
0.003310526349674493,0.09090909090909091
