Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Source,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (RM Region)."
Time Basis,s
%%%ENDOFMETADATA%%%,
Emissions,Probability
0.0,0.41935483870967744
6.0731365176192875e-06,0.03225806451612903
4.664278711664256e-09,0.03225806451612903
2.2860637044382975e-05,0.03225806451612903
1.1705562831024112e-07,0.03225806451612903
0.00013956989110680307,0.03225806451612903
0.00016533620586749154,0.03225806451612903
0.00027223260519369645,0.03225806451612903
0.0004372996804002589,0.03225806451612903
3.174921349625626e-05,0.03225806451612903
0.00013571246100526244,0.03225806451612903
0.00013957897267917192,0.03225806451612903
0.00012921307341430646,0.03225806451612903
1.8213721969828312e-06,0.03225806451612903
0.00014665218995621736,0.03225806451612903
0.0003777235249196837,0.03225806451612903
0.0004951864252850377,0.03225806451612903
0.00033518119042935256,0.03225806451612903
0.0001400666116524633,0.03225806451612903
