Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
5.007344264686491e-07,0.663477
1.3441959531274232e-06,0.0789538
2.373696410279934e-06,0.0152692
3.4709526861418225e-06,0.0556846
4.295378234460403e-06,0.00964615
5.1665704386535295e-06,0.00964615
6.176302473280357e-06,0.00390769
7.081391513034516e-06,0.00396923
8.036209159955962e-06,0.0033
9.0169462464647e-06,0.00368462
9.899730752043159e-06,0.00523846
1.0897993505625885e-05,0.00565385
1.181875344423238e-05,0.00249231
1.2829412862970035e-05,0.00163077
1.3738249291580188e-05,0.0031
1.4607246055837478e-05,0.00253846
1.5624056491636738e-05,0.00246923
1.6585886298008415e-05,0.00253077
1.7568251038262686e-05,0.0032
1.8481061970204953e-05,0.00110769
1.9453774345224086e-05,0.00123077
2.043661224063694e-05,0.000607692
2.1309204984099477e-05,0.00187692
2.221548637485327e-05,0.00191538
2.321800752486326e-05,0.00153077
2.4113974133159904e-05,0.00336154
2.4999909852094537e-05,0.00154615
2.6004134360675435e-05,0.000623077
2.7003343424575333e-05,0.00225385
2.8055829759331904e-05,0.000753846
2.888167477312624e-05,0.00187692
2.9844734782910238e-05,0.00127692
3.0965733984629923e-05,0.000730769
3.1712940611067426e-05,0.00283077
3.267240464164618e-05,0.00167692
3.35877706114448e-05,0.00283077
3.45591581520199e-05,0.000238462
3.553149200291216e-05,0.000992308
3.6559942055612616e-05,0.000346154
3.744389052288119e-05,0.000115385
3.842672841829405e-05,0.00226154
3.926922849367058e-05,0.00208462
4.0181471639422545e-05,0.00216154
4.1078479189068066e-05,0.000230769
4.2117527917320824e-05,0.000576923
4.3016995873791e-05,0.00113077
4.393311889184336e-05,9.23077e-05
4.489523259131018e-05,0.000346154
4.591213765814116e-05,0.00210769
4.687737418165465e-05,0.000553846
4.772006351909462e-05,0.00146923
4.886585605112416e-05,0.000784615
4.9664352696752274e-05,0.00166923
5.0567132739332545e-05,0.000123077
5.165917484534682e-05,0.000515385
5.2513219906592824e-05,0.00136154
5.325957485374488e-05,0.000261538
5.442041371981742e-05,0.000323077
5.541602680451207e-05,0.000438462
5.6321929671139e-05,0.000192308
5.728129907068604e-05,0.000192308
5.8165626062081486e-05,0.000830769
5.9123954520279626e-05,0.000415385
6.009950582625027e-05,0.000153846
6.097749253852068e-05,0.000107692
6.196184453044101e-05,0.000946154
6.284484668739241e-05,0.000169231
6.385749335779613e-05,0.000207692
6.48415614566213e-05,0.000992308
6.585051751678805e-05,0.000392308
6.671705387422071e-05,0.00113846
6.754649486722027e-05,0.0006
6.858563822650475e-05,0.0003
6.952731162312071e-05,0.00112308
7.059503355398373e-05,5.38462e-05
7.146024507697233e-05,0.0004
7.234930361995364e-05,0.000146154
7.336687110400662e-05,0.000169231
7.432907943450517e-05,0.0001
7.519552116090611e-05,5.38462e-05
7.618365839409512e-05,0.000415385
7.713233448705812e-05,0.000153846
7.806984411827853e-05,7.69231e-05
7.902722626615951e-05,9.23077e-05
8.006731593576116e-05,0.000238462
8.094473486184126e-05,0.000338462
8.182679070847549e-05,0.000138462
8.28360306617374e-05,6.92308e-05
8.378432823057355e-05,0.000123077
8.467736127688695e-05,0.000176923
8.56012440395401e-05,0.000853846
8.662004172700543e-05,0.000115385
8.75662574131438e-05,0.000238462
8.848389452770363e-05,0.00126923
8.951518351135559e-05,4.61538e-05
9.060750951046504e-05,0.000184615
9.130229054533131e-05,0.00118462
9.23871406929351e-05,3.07692e-05
9.321156624125367e-05,3.84615e-05
9.416516314786598e-05,0.000246154
9.523477769936331e-05,0.000107692
9.598804071183072e-05,0.000153846
9.709522378291972e-05,0.000115385
9.797056082630205e-05,6.15385e-05
9.895850879742762e-05,9.23077e-05
9.996727559553093e-05,7.69231e-05
0.00010076406888258815,0.000138462
0.00010177094306005713,0.000115385
0.0001027238775494474,7.69231e-05
0.00010370993289993862,0.000246154
0.00010455688063380586,0.000946154
0.00010547007008987499,6.15385e-05
0.00010651668930066513,8.46154e-05
0.00010743366399800293,0.000107692
0.00010841593410722549,0.000884615
0.00010949472786879938,0.000169231
0.00011023568884714357,0.0002
0.00011109304599449966,3.07692e-05
0.00011216332296321902,0.0001
0.00011309638493594875,6.15385e-05
0.00011405121204597335,7.69231e-05
0.00011505619360280798,7.69231e-05
0.00011615296726040812,0.000238462
0.0001168721631014574,0.000869231
0.00011792162124319901,6.92308e-05
0.00011876194480484604,7.69231e-05
0.000119718664535505,0.000153846
0.00012050126316780468,3.07692e-05
0.00012156491596430385,5.38462e-05
0.0001225528639354294,0.000146154
0.00012351431521767423,0.000723077
0.00012449942425784828,0.0001
0.00012538611702503667,3.07692e-05
0.0001262680782406392,0.000107692
0.00012728820076254854,8.46154e-05
0.00012824208156225598,0.000515385
0.00012904644533185056,0.0002
0.00013011672230056994,0.000184615
