Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
9.743751561741124e-08,0.362463
2.923125468522337e-07,0.0305625
4.871875780870562e-07,0.0129125
6.820626093218784e-07,0.0137375
8.769376405567011e-07,0.0071375
1.0718126717915235e-06,0.00545
1.266687703026346e-06,0.0045375
1.4615627342611682e-06,0.006175
1.656437765495991e-06,0.0038625
1.8513127967308133e-06,0.0056625
2.0461878279656358e-06,0.0040625
2.241062859200458e-06,0.003475
2.4359378904352803e-06,0.0065125
2.630812921670103e-06,0.00545
2.8256879529049258e-06,0.004925
3.0205629841397476e-06,0.0049
3.2154380153745704e-06,0.0052375
3.4103130466093926e-06,0.0057625
3.6051880778442154e-06,0.0031
3.8000631090790377e-06,0.0050625
3.99493814031386e-06,0.0036875
4.189813171548682e-06,0.0061875
4.384688202783505e-06,0.0040625
4.579563234018327e-06,0.0056875
4.77443826525315e-06,0.0036375
4.969313296487973e-06,0.0065375
5.1641883277227945e-06,0.002975
5.359063358957618e-06,0.00565
5.553938390192439e-06,0.0049875
5.748813421427262e-06,0.0034125
5.9436884526620846e-06,0.0057125
6.138563483896907e-06,0.0035375
6.333438515131729e-06,0.0037375
6.528313546366552e-06,0.00635
6.723188577601374e-06,0.003325
6.918063608836198e-06,0.0020125
7.112938640071019e-06,0.0049875
7.3078136713058414e-06,0.0031625
7.502688702540665e-06,0.0029875
7.697563733775487e-06,0.0038625
7.892438765010308e-06,0.00415
8.087313796245131e-06,0.003625
8.282188827479953e-06,0.0031125
8.477063858714778e-06,0.0036
8.6719388899496e-06,0.0040625
8.86681392118442e-06,0.0029625
9.061688952419245e-06,0.0030125
9.256563983654067e-06,0.001775
9.451439014888888e-06,0.0028
9.646314046123711e-06,0.0038125
9.841189077358535e-06,0.0031125
1.0036064108593356e-05,0.0040125
1.0230939139828178e-05,0.0040625
1.0425814171063002e-05,0.0031
1.0620689202297824e-05,0.002925
1.0815564233532647e-05,0.0019125
1.1010439264767468e-05,0.0031875
1.120531429600229e-05,0.003025
1.1400189327237113e-05,0.0022625
1.1595064358471938e-05,0.001425
1.1789939389706756e-05,0.003125
1.198481442094158e-05,0.0016375
1.2179689452176404e-05,0.0024375
1.2374564483411225e-05,0.00265
1.2569439514646047e-05,0.0024625
1.276431454588087e-05,0.0022375
1.2959189577115691e-05,0.0022
1.3154064608350516e-05,0.0023625
1.3348939639585338e-05,0.0029625
1.354381467082016e-05,0.0024875
1.3738689702054982e-05,0.0015375
1.3933564733289805e-05,0.002025
1.4128439764524627e-05,0.0024875
1.4323314795759448e-05,0.001875
1.4518189826994273e-05,0.00135
1.4713064858229096e-05,0.003025
1.4907939889463916e-05,0.0013875
1.5102814920698739e-05,0.0019875
1.5297689951933564e-05,0.00205
1.5492564983168384e-05,0.0024375
1.5687440014403207e-05,0.001375
1.588231504563803e-05,0.0031625
1.607719007687285e-05,0.001225
1.6272065108107676e-05,0.001175
1.64669401393425e-05,0.0021
1.666181517057732e-05,0.0013375
1.6856690201812142e-05,0.001775
1.7051565233046965e-05,0.0022625
1.724644026428179e-05,0.001725
1.7441315295516608e-05,0.001425
1.763619032675143e-05,0.0014875
1.7831065357986255e-05,0.002625
1.8025940389221078e-05,0.00155
1.8220815420455897e-05,0.0020375
1.841569045169072e-05,0.0015875
1.8610565482925544e-05,0.0015
1.8805440514160367e-05,0.0013875
1.900031554539519e-05,0.0019375
1.919519057663001e-05,0.001275
1.9390065607864833e-05,0.0021375
1.9584940639099656e-05,0.0021375
1.977981567033448e-05,0.0011125
1.9974690701569306e-05,0.001575
2.0169565732804122e-05,0.00125
2.0364440764038942e-05,0.001325
2.0559315795273768e-05,0.0022625
2.075419082650859e-05,0.0012875
2.094906585774341e-05,0.0013
2.1143940888978238e-05,0.00185
2.133881592021306e-05,0.00175
2.153369095144788e-05,0.0014875
2.1728565982682707e-05,0.0012875
2.1923441013917523e-05,0.00145
2.2118316045152347e-05,0.0012875
2.231319107638717e-05,0.001775
2.2508066107621993e-05,0.00125
2.2702941138856813e-05,0.00155
2.289781617009164e-05,0.00145
2.3092691201326462e-05,0.0011625
2.3287566232561282e-05,0.0006625
2.3482441263796105e-05,0.0014625
2.3677316295030925e-05,0.001175
2.3872191326265748e-05,0.000925
2.4067066357500575e-05,0.0017
2.4261941388735394e-05,0.0011125
2.4456816419970218e-05,0.000875
2.465169145120504e-05,0.0014375
2.4846566482439864e-05,0.0008875
2.504144151367468e-05,0.0012
2.5236316544909507e-05,0.0015
2.5431191576144326e-05,0.000975
2.562606660737915e-05,0.0007875
2.5820941638613976e-05,0.0012125
2.6015816669848796e-05,0.0011125
2.6210691701083622e-05,0.001225
2.6405566732318446e-05,0.001075
2.6600441763553262e-05,0.0008125
2.679531679478809e-05,0.0007625
2.6990191826022908e-05,0.0011375
