Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
6.141423962571482e-07,0.663477
1.648633846717394e-06,0.0789538
2.911298932803817e-06,0.0152692
4.257065396912124e-06,0.0556846
5.268209538429797e-06,0.00964615
6.336712200922909e-06,0.00964615
7.575131647527808e-06,0.00390769
8.685208211707289e-06,0.00396923
9.856276080566237e-06,0.0033
1.1059133708419872e-05,0.00368462
1.2141854134610863e-05,0.00523846
1.3366206699908146e-05,0.00565385
1.4495503359339615e-05,0.00249231
1.5735060227040343e-05,0.00163077
1.6849732900953994e-05,0.0031
1.7915542893097794e-05,0.00253846
1.9162643880311685e-05,0.00246923
2.0342312045415636e-05,0.00253077
2.154716596335583e-05,0.0032
2.2666713299108753e-05,0.00110769
2.3859728752582144e-05,0.00123077
2.5065162987407965e-05,0.000607692
2.6135383387882533e-05,0.00187692
2.7246922350613796e-05,0.00191538
2.8476497767881726e-05,0.00153077
2.957538582250631e-05,0.00336154
3.066197115915558e-05,0.00154615
3.189363571721177e-05,0.000623077
3.311914891628031e-05,0.00225385
3.441000579667053e-05,0.000753846
3.542289088884508e-05,0.00187692
3.6604067877851666e-05,0.00127692
3.797895464328076e-05,0.000730769
3.8895391069064006e-05,0.00283077
4.007215764973982e-05,0.00167692
4.119483869667513e-05,0.00283077
4.2386229262868764e-05,0.000238462
4.3578780462833645e-05,0.000992308
4.484015724543397e-05,0.000346154
4.592430525116361e-05,0.000115385
4.712973948598943e-05,0.00226154
4.8163051732538087e-05,0.00208462
4.928190268802825e-05,0.00216154
5.0382067439801214e-05,0.000230769
5.1656443320639606e-05,0.000576923
5.275962572021783e-05,0.00113077
5.388323527417014e-05,9.23077e-05
5.506325162940547e-05,0.000346154
5.631046867999649e-05,0.00210769
5.749431512667695e-05,0.000553846
5.852785949997986e-05,0.00146923
5.993315487021586e-05,0.000784615
6.091249764640113e-05,0.00166923
6.201974226417875e-05,0.000123077
6.335911363620743e-05,0.000515385
6.44065856147654e-05,0.00136154
6.532197747015451e-05,0.000261538
6.674572691735346e-05,0.000323077
6.796682970809123e-05,0.000438462
6.907790441731399e-05,0.000192308
7.025455493461268e-05,0.000192308
7.133916719385082e-05,0.000830769
7.251454101400111e-05,0.000415385
7.371103836878828e-05,0.000153846
7.4787874381759e-05,0.000107692
7.599516563061883e-05,0.000946154
7.707815300257721e-05,0.000169231
7.832014720119758e-05,0.000207692
7.952709025992604e-05,0.000992308
8.07645579868385e-05,0.000392308
8.182735033117705e-05,0.00113846
8.284464583168236e-05,0.0006
8.411913777589788e-05,0.0003
8.52740844416741e-05,0.00112308
8.658362752578152e-05,5.38462e-05
8.764479498284029e-05,0.0004
8.873521041093471e-05,0.000146154
8.99832399051656e-05,0.000169231
9.116337232377806e-05,0.0001
9.222604860473948e-05,5.38462e-05
9.343798238868432e-05,0.000415385
9.460151774436782e-05,0.000153846
9.575135762155051e-05,7.69231e-05
9.692557080792957e-05,9.23077e-05
9.820122338591634e-05,0.000238462
9.927736301862431e-05,0.000338462
0.00010035918975681143,0.000138462
0.00010159700567385528,6.92308e-05
0.00010276007677603029,0.000123077
0.00010385536686596396,0.000176923
0.00010498849361684058,0.000853846
0.0001062380319349741,0.000115385
0.00010739854964285234,0.000238462
0.00010852401621083867,0.00126923
0.00010978887489475277,4.61538e-05
0.00011112859445691284,0.000184615
0.00011198073177176851,0.00118462
0.00011331128232713566,3.07692e-05
0.00011432242646865333,3.84615e-05
0.00011549199711994737,0.000246154
0.0001168038614715973,0.000107692
0.00011772772595351659,0.000153846
0.00011908566746588534,0.000115385
0.00012015925370429657,6.15385e-05
0.00012137095536148717,9.23077e-05
0.00012260819096164538,7.69231e-05
0.0001235854445970424,0.000138462
0.0001248203589296581,0.000115385
0.00012598911713731226,7.69231e-05
0.00012719849752696033,0.000246154
0.0001282372647522339,0.000946154
0.00012935727634149532,6.15385e-05
0.00013064093729250377,8.46154e-05
0.0001317655914168502,0.000107692
0.00013297032927141327,0.000884615
0.00013429345177064437,0.000169231
0.00013520222801353734,0.0002
0.0001362537622102947,3.07692e-05
0.0001375664390055845,0.0001
0.0001387108239040423,6.15385e-05
0.00013988190337923897,7.69231e-05
0.00014111449644431214,7.69231e-05
0.00014245967098519712,0.000238462
0.00014334175265135122,0.000869231
0.00014462889550367338,6.92308e-05
0.00014565953829254815,7.69231e-05
0.00014683293903528733,0.000153846
0.00014779278316411553,3.07692e-05
0.00014909733552300654,5.38462e-05
0.00015030903718019713,0.000146154
0.00015148824109179258,0.000723077
0.00015269646084766942,0.0001
0.0001537839746913357,3.07692e-05
0.00015486568536614571,0.000107692
0.000156116848571559,8.46154e-05
0.0001572867674129844,0.000515385
0.00015827330611855144,0.0002
0.00015958598291384126,0.000184615
0.00016069670943293264,7.69231e-05
0.00016190841109012326,5.38462e-05
