Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
1.4046555482937461e-06,0.663477
3.7707259651991415e-06,0.0789538
6.658671056789048e-06,0.0152692
9.736684139810082e-06,0.0556846
1.2049355007614518e-05,0.00964615
1.4493215262800608e-05,0.00964615
1.7325706159683866e-05,0.00390769
1.9864653502203237e-05,0.00396923
2.2543099070277156e-05,0.0033
2.5294253608816143e-05,0.00368462
2.7770632479854623e-05,0.00523846
3.0570949856400654e-05,0.00565385
3.315385705839069e-05,0.00249231
3.598894944454213e-05,0.00163077
3.853840892736971e-05,0.0031
4.097611055490049e-05,0.00253846
4.382845771681035e-05,0.00246923
4.652657372924886e-05,0.00253077
4.928229414691161e-05,0.0032
5.1842902869460005e-05,0.00110769
5.457154656208648e-05,0.00123077
5.732859427019218e-05,0.000607692
5.9776383305089415e-05,0.00187692
6.231867541952503e-05,0.00191538
6.513093841005765e-05,0.00153077
6.764429559283686e-05,0.00336154
7.012951421822542e-05,0.00154615
7.294655545435268e-05,0.000623077
7.574952741178462e-05,0.00225385
7.870195227309327e-05,0.000753846
8.101860501222657e-05,0.00187692
8.372017197981677e-05,0.00127692
8.686478849726527e-05,0.000730769
8.896084556477949e-05,0.00283077
9.165232512500324e-05,0.00167692
9.422010121594359e-05,0.00283077
9.694502849532978e-05,0.000238462
9.967261035560188e-05,0.000992308
0.00010255760886240842,0.000346154
0.00010503725286793658,0.000115385
0.00010779430057604228,0.00226154
0.0001101576739387676,0.00208462
0.00011271668991278445,0.00216154
0.00011523296713453814,0.000230769
0.00011814769694726689,0.000576923
0.00012067087607932396,0.00113077
0.00012324077583497303,9.23077e-05
0.0001259396882216773,0.000346154
0.00012879230084167579,0.00210769
0.00013149997334530354,0.000553846
0.00013386387762420604,0.00146923
0.0001370780441608654,0.000784615
0.00013931797951239588,0.00166923
0.00014185044967755366,0.000123077
0.0001449138360198933,0.000515385
0.00014730959526942672,0.00136154
0.00014940326321414362,0.000261538
0.00015265963758688891,0.000323077
0.0001554525221369544,0.000438462
0.00015799375241903565,0.000192308
0.00016068496652117082,0.000192308
0.00016316567235905333,0.000830769
0.00016585396642221394,0.000415385
0.00016859057385749815,0.000153846
0.0001710534940034451,0.000107692
0.00017381478904096825,0.000946154
0.0001762917784656105,0.000169231
0.00017913244547162235,0.000207692
0.00018189294413487975,0.000992308
0.00018472325827543652,0.000392308
0.00018715405799266398,0.00113846
0.0001894807981391637,0.0006
0.00019239579340998104,0.0003
0.0001950373668495497,0.00112308
0.00019803253046312148,5.38462e-05
0.00020045961376710862,0.0004
0.0002029535925094207,0.000146154
0.00020580806333603925,0.000169231
0.00020850724118083214,0.0001
0.00021093777543997099,5.38462e-05
0.00021370968880103777,0.000415385
0.00021637090613916212,0.000153846
0.00021900079942283277,7.69231e-05
0.0002216864389051075,9.23077e-05
0.00022460408875681076,0.000238462
0.00022706541615422613,0.000338462
0.00022953975099798243,0.000138462
0.00023237086151280502,6.92308e-05
0.00023503101701857505,0.000123077
0.0002375361450006079,0.000176923
0.00024012781231952146,0.000853846
0.00024298573410129172,0.000115385
0.00024564004952911273,0.000238462
0.0002482141966141793,0.00126923
0.0002511071588636435,4.61538e-05
0.000254171341580249,0.000184615
0.0002561203348666838,0.00118462
0.00025916354639429057,3.07692e-05
0.000261476217262095,3.84615e-05
0.0002641512384208261,0.000246154
0.0002671517111961697,0.000107692
0.00026926475758135373,0.000153846
0.00027237061721786793,0.000115385
0.00027482610453733434,6.15385e-05
0.00027759748698222395,9.23077e-05
0.0002804272702066036,7.69231e-05
0.00028266242731253945,0.000138462
0.00028548690137514726,0.000115385
0.00028816006432725823,7.69231e-05
0.000290926137610376,0.000246154
0.00029330198750326513,0.000946154
0.00029586365805816785,6.15385e-05
0.0002987996245179839,8.46154e-05
0.0003013719133964303,0.000107692
0.00030412736835600446,0.000884615
0.00030715359056594137,0.000169231
0.0003092321273996086,0.0002
0.0003116371776822427,3.07692e-05
0.0003146395086642064,0.0001
0.0003172569254177133,6.15385e-05
0.00031993539753159605,7.69231e-05
0.00032275456243243203,7.69231e-05
0.00032583122167920126,0.000238462
0.0003278487031524926,0.000869231
0.0003307926333549663,6.92308e-05
0.000333149901181654,7.69231e-05
0.0003358336824573086,0.000153846
0.0003380290208499559,3.07692e-05
0.00034101276976571826,5.38462e-05
0.0003437841522106078,0.000146154
0.000346481206390692,0.000723077
0.00034924462509292384,0.0001
0.00035173196738302117,3.07692e-05
0.0003542060367686889,0.000107692
0.0003570676749636995,8.46154e-05
0.00035974349249669635,0.000515385
0.0003619998862497195,0.0002
0.00036500221723168323,0.000184615
0.0003675426511394987,7.69231e-05
0.00037031403358438837,5.38462e-05
0.0003730110877644725,0.000161538
0.000375256863193952,3.07692e-05
0.0003782698124994594,8.46154e-05
