Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
5.56262886287043e-07,0.362463
1.668788658861129e-06,0.0305625
2.7813144314352147e-06,0.0129125
3.8938402040093e-06,0.0137375
5.0063659765833875e-06,0.0071375
6.118891749157473e-06,0.00545
7.231417521731558e-06,0.0045375
8.343943294305644e-06,0.006175
9.456469066879731e-06,0.0038625
1.0568994839453817e-05,0.0056625
1.1681520612027903e-05,0.0040625
1.2794046384601988e-05,0.003475
1.3906572157176076e-05,0.0065125
1.501909792975016e-05,0.00545
1.6131623702324246e-05,0.004925
1.7244149474898333e-05,0.0049
1.8356675247472417e-05,0.0052375
1.94692010200465e-05,0.0057625
2.058172679262059e-05,0.0031
2.1694252565194676e-05,0.0050625
2.2806778337768763e-05,0.0036875
2.3919304110342844e-05,0.0061875
2.503182988291693e-05,0.0040625
2.614435565549102e-05,0.0056875
2.7256881428065106e-05,0.0036375
2.8369407200639194e-05,0.0065375
2.9481932973213278e-05,0.002975
3.059445874578736e-05,0.00565
3.1706984518361446e-05,0.0049875
3.2819510290935536e-05,0.0034125
3.393203606350962e-05,0.0057125
3.504456183608371e-05,0.0035375
3.615708760865779e-05,0.0037375
3.726961338123188e-05,0.00635
3.8382139153805963e-05,0.003325
3.9494664926380054e-05,0.0020125
4.060719069895414e-05,0.0049875
4.171971647152822e-05,0.0031625
4.2832242244102306e-05,0.0029875
4.394476801667639e-05,0.0038625
4.5057293789250474e-05,0.00415
4.6169819561824565e-05,0.003625
4.728234533439865e-05,0.0031125
4.839487110697274e-05,0.0036
4.9507396879546824e-05,0.0040625
5.0619922652120915e-05,0.0029625
5.1732448424695e-05,0.0030125
5.2844974197269076e-05,0.001775
5.3957499969843174e-05,0.0028
5.507002574241725e-05,0.0038125
5.618255151499134e-05,0.0031125
5.7295077287565426e-05,0.0040125
5.84076030601395e-05,0.0040625
5.9520128832713594e-05,0.0031
6.063265460528769e-05,0.002925
6.174518037786178e-05,0.0019125
6.285770615043585e-05,0.0031875
6.397023192300994e-05,0.003025
6.508275769558403e-05,0.0022625
6.619528346815811e-05,0.001425
6.730780924073219e-05,0.003125
6.842033501330628e-05,0.0016375
6.953286078588037e-05,0.0024375
7.064538655845446e-05,0.00265
7.175791233102854e-05,0.0024625
7.287043810360263e-05,0.0022375
7.398296387617672e-05,0.0022
7.509548964875081e-05,0.0023625
7.620801542132489e-05,0.0029625
7.732054119389897e-05,0.0024875
7.843306696647306e-05,0.0015375
7.954559273904715e-05,0.002025
8.065811851162122e-05,0.0024875
8.177064428419532e-05,0.001875
8.288317005676939e-05,0.00135
8.39956958293435e-05,0.003025
8.510822160191756e-05,0.0013875
8.622074737449166e-05,0.0019875
8.733327314706574e-05,0.00205
8.844579891963983e-05,0.0024375
8.955832469221392e-05,0.001375
9.0670850464788e-05,0.0031625
9.178337623736209e-05,0.001225
9.289590200993617e-05,0.001175
9.400842778251027e-05,0.0021
9.512095355508435e-05,0.0013375
9.623347932765843e-05,0.001775
9.734600510023252e-05,0.0022625
9.84585308728066e-05,0.001725
9.957105664538067e-05,0.001425
0.00010068358241795478,0.0014875
0.00010179610819052885,0.002625
0.00010290863396310295,0.00155
0.00010402115973567702,0.0020375
0.00010513368550825113,0.0015875
0.0001062462112808252,0.0015
0.0001073587370533993,0.0013875
0.00010847126282597337,0.0019375
0.00010958378859854745,0.001275
0.00011069631437112155,0.0021375
0.00011180884014369563,0.0021375
0.00011292136591626972,0.0011125
0.00011403389168884383,0.001575
0.00011514641746141788,0.00125
0.00011625894323399198,0.001325
0.00011737146900656606,0.0022625
0.00011848399477914015,0.0012875
0.00011959652055171423,0.0013
0.00012070904632428833,0.00185
0.00012182157209686241,0.00175
0.0001229340978694365,0.0014875
0.0001240466236420106,0.0012875
0.00012515914941458467,0.00145
0.00012627167518715874,0.0012875
0.00012738420095973282,0.001775
0.00012849672673230693,0.00125
0.000129609252504881,0.00155
0.0001307217782774551,0.00145
0.00013183430405002918,0.0011625
0.0001329468298226033,0.0006625
0.00013405935559517734,0.0014625
0.00013517188136775144,0.001175
0.00013628440714032552,0.000925
0.0001373969329128996,0.0017
0.0001385094586854737,0.0011125
0.00013962198445804778,0.000875
0.00014073451023062188,0.0014375
0.00014184703600319596,0.0008875
0.00014295956177577004,0.0012
0.00014407208754834412,0.0015
0.00014518461332091822,0.000975
0.0001462971390934923,0.0007875
0.00014740966486606637,0.0012125
0.00014852219063864045,0.0011125
0.00014963471641121456,0.001225
0.00015074724218378866,0.001075
0.0001518597679563627,0.0008125
0.00015297229372893682,0.0007625
0.0001540848195015109,0.0011375
0.000155197345274085,0.0005625
0.00015630987104665907,0.0011125
0.00015742239681923315,0.0014875
0.00015853492259180723,0.0009875
0.00015964744836438133,0.0004375
0.00016075997413695544,0.000925
0.0001618724999095295,0.0011875
