Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
1.1657173495935147e-07,0.362463
3.497152048780544e-07,0.0305625
5.828586747967574e-07,0.0129125
8.160021447154603e-07,0.0137375
1.0491456146341633e-06,0.0071375
1.2822890845528662e-06,0.00545
1.5154325544715687e-06,0.0045375
1.7485760243902718e-06,0.006175
1.981719494308975e-06,0.0038625
2.214862964227678e-06,0.0056625
2.448006434146381e-06,0.0040625
2.6811499040650837e-06,0.003475
2.9142933739837866e-06,0.0065125
3.14743684390249e-06,0.00545
3.380580313821193e-06,0.004925
3.6137237837398954e-06,0.0049
3.846867253658599e-06,0.0052375
4.080010723577301e-06,0.0057625
4.3131541934960045e-06,0.0031
4.546297663414707e-06,0.0050625
4.77944113333341e-06,0.0036875
5.012584603252113e-06,0.0061875
5.245728073170816e-06,0.0040625
5.478871543089519e-06,0.0056875
5.712015013008222e-06,0.0036375
5.945158482926925e-06,0.0065375
6.178301952845628e-06,0.002975
6.411445422764331e-06,0.00565
6.644588892683033e-06,0.0049875
6.877732362601736e-06,0.0034125
7.110875832520439e-06,0.0057125
7.344019302439143e-06,0.0035375
7.577162772357845e-06,0.0037375
7.81030624227655e-06,0.00635
8.04344971219525e-06,0.003325
8.276593182113954e-06,0.0020125
8.509736652032657e-06,0.0049875
8.74288012195136e-06,0.0031625
8.976023591870062e-06,0.0029875
9.209167061788766e-06,0.0038625
9.442310531707469e-06,0.00415
9.675454001626173e-06,0.003625
9.908597471544874e-06,0.0031125
1.0141740941463578e-05,0.0036
1.037488441138228e-05,0.0040625
1.0608027881300983e-05,0.0029625
1.0841171351219687e-05,0.0030125
1.107431482113839e-05,0.001775
1.1307458291057094e-05,0.0028
1.1540601760975796e-05,0.0038125
1.1773745230894499e-05,0.0031125
1.2006888700813203e-05,0.0040125
1.2240032170731904e-05,0.0040625
1.2473175640650608e-05,0.0031
1.270631911056931e-05,0.002925
1.2939462580488014e-05,0.0019125
1.3172606050406713e-05,0.0031875
1.3405749520325418e-05,0.003025
1.3638892990244124e-05,0.0022625
1.3872036460162826e-05,0.001425
1.4105179930081527e-05,0.003125
1.433832340000023e-05,0.0016375
1.4571466869918933e-05,0.0024375
1.4804610339837636e-05,0.00265
1.5037753809756338e-05,0.0024625
1.527089727967504e-05,0.0022375
1.5504040749593745e-05,0.0022
1.573718421951245e-05,0.0023625
1.597032768943115e-05,0.0029625
1.6203471159349854e-05,0.0024875
1.6436614629268555e-05,0.0015375
1.6669758099187263e-05,0.002025
1.690290156910596e-05,0.0024875
1.7136045039024664e-05,0.001875
1.736918850894337e-05,0.00135
1.7602331978862073e-05,0.003025
1.7835475448780773e-05,0.0013875
1.8068618918699478e-05,0.0019875
1.8301762388618182e-05,0.00205
1.8534905858536883e-05,0.0024375
1.8768049328455587e-05,0.001375
1.9001192798374288e-05,0.0031625
1.9234336268292992e-05,0.001225
1.9467479738211696e-05,0.001175
1.97006232081304e-05,0.0021
1.99337666780491e-05,0.0013375
2.01669101479678e-05,0.001775
2.0400053617886506e-05,0.0022625
2.063319708780521e-05,0.001725
2.086634055772391e-05,0.001425
2.1099484027642615e-05,0.0014875
2.133262749756132e-05,0.002625
2.1565770967480023e-05,0.00155
2.1798914437398724e-05,0.0020375
2.203205790731743e-05,0.0015875
2.226520137723613e-05,0.0015
2.2498344847154833e-05,0.0013875
2.2731488317073534e-05,0.0019375
2.296463178699224e-05,0.001275
2.3197775256910943e-05,0.0021375
2.3430918726829647e-05,0.0021375
2.366406219674835e-05,0.0011125
2.389720566666705e-05,0.001575
2.4130349136585752e-05,0.00125
2.4363492606504457e-05,0.001325
2.459663607642316e-05,0.0022625
2.482977954634186e-05,0.0012875
2.5062923016260566e-05,0.0013
2.529606648617927e-05,0.00185
2.5529209956097974e-05,0.00175
2.576235342601668e-05,0.0014875
2.599549689593538e-05,0.0012875
2.6228640365854077e-05,0.00145
2.6461783835772784e-05,0.0012875
2.669492730569149e-05,0.001775
2.6928070775610186e-05,0.00125
2.716121424552889e-05,0.00155
2.7394357715447597e-05,0.00145
2.76275011853663e-05,0.0011625
2.7860644655285006e-05,0.0006625
2.80937881252037e-05,0.0014625
2.8326931595122404e-05,0.001175
2.8560075065041108e-05,0.000925
2.8793218534959812e-05,0.0017
2.9026362004878513e-05,0.0011125
2.9259505474797217e-05,0.000875
2.949264894471592e-05,0.0014375
2.9725792414634626e-05,0.0008875
2.9958935884553323e-05,0.0012
3.0192079354472027e-05,0.0015
3.042522282439073e-05,0.000975
3.0658366294309436e-05,0.0007875
3.089150976422814e-05,0.0012125
3.1124653234146844e-05,0.0011125
3.1357796704065545e-05,0.001225
3.159094017398425e-05,0.001075
3.182408364390295e-05,0.0008125
3.205722711382165e-05,0.0007625
3.2290370583740355e-05,0.0011375
3.2523514053659056e-05,0.0005625
