Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
8.141553450508278e-08,0.362463
2.442466035152483e-07,0.0305625
4.070776725254139e-07,0.0129125
5.699087415355793e-07,0.0137375
7.32739810545745e-07,0.0071375
8.955708795559105e-07,0.00545
1.058401948566076e-06,0.0045375
1.2212330175762415e-06,0.006175
1.3840640865864072e-06,0.0038625
1.5468951555965728e-06,0.0056625
1.7097262246067381e-06,0.0040625
1.8725572936169037e-06,0.003475
2.035388362627069e-06,0.0065125
2.1982194316372346e-06,0.00545
2.3610505006474e-06,0.004925
2.5238815696575657e-06,0.0049
2.6867126386677313e-06,0.0052375
2.849543707677897e-06,0.0057625
3.0123747766880624e-06,0.0031
3.1752058456982283e-06,0.0050625
3.338036914708394e-06,0.0036875
3.500867983718559e-06,0.0061875
3.6636990527287246e-06,0.0040625
3.8265301217388906e-06,0.0056875
3.989361190749055e-06,0.0036375
4.152192259759222e-06,0.0065375
4.315023328769386e-06,0.002975
4.477854397779553e-06,0.00565
4.6406854667897175e-06,0.0049875
4.803516535799884e-06,0.0034125
4.966347604810049e-06,0.0057125
5.129178673820215e-06,0.0035375
5.29200974283038e-06,0.0037375
5.454840811840546e-06,0.00635
5.617671880850711e-06,0.003325
5.780502949860877e-06,0.0020125
5.943334018871042e-06,0.0049875
6.106165087881208e-06,0.0031625
6.268996156891372e-06,0.0029875
6.4318272259015395e-06,0.0038625
6.594658294911703e-06,0.00415
6.75748936392187e-06,0.003625
6.9203204329320344e-06,0.0031125
7.083151501942201e-06,0.0036
7.2459825709523656e-06,0.0040625
7.408813639962532e-06,0.0029625
7.5716447089726975e-06,0.0030125
7.734475777982864e-06,0.001775
7.897306846993028e-06,0.0028
8.060137916003193e-06,0.0038125
8.222968985013359e-06,0.0031125
8.385800054023526e-06,0.0040125
8.54863112303369e-06,0.0040625
8.711462192043856e-06,0.0031
8.874293261054023e-06,0.002925
9.037124330064188e-06,0.0019125
9.199955399074352e-06,0.0031875
9.362786468084518e-06,0.003025
9.525617537094685e-06,0.0022625
9.68844860610485e-06,0.001425
9.851279675115013e-06,0.003125
1.0014110744125182e-05,0.0016375
1.0176941813135347e-05,0.0024375
1.0339772882145513e-05,0.00265
1.0502603951155678e-05,0.0024625
1.0665435020165842e-05,0.0022375
1.0828266089176008e-05,0.0022
1.0991097158186173e-05,0.0023625
1.1153928227196339e-05,0.0029625
1.1316759296206504e-05,0.0024875
1.147959036521667e-05,0.0015375
1.1642421434226836e-05,0.002025
1.1805252503237001e-05,0.0024875
1.1968083572247167e-05,0.001875
1.2130914641257332e-05,0.00135
1.2293745710267498e-05,0.003025
1.2456576779277663e-05,0.0013875
1.2619407848287829e-05,0.0019875
1.2782238917297994e-05,0.00205
1.294506998630816e-05,0.0024375
1.3107901055318327e-05,0.001375
1.3270732124328491e-05,0.0031625
1.3433563193338657e-05,0.001225
1.3596394262348822e-05,0.001175
1.375922533135899e-05,0.0021
1.3922056400369153e-05,0.0013375
1.4084887469379319e-05,0.001775
1.4247718538389484e-05,0.0022625
1.4410549607399652e-05,0.001725
1.4573380676409816e-05,0.001425
1.4736211745419981e-05,0.0014875
1.4899042814430148e-05,0.002625
1.5061873883440314e-05,0.00155
1.5224704952450476e-05,0.0020375
1.5387536021460643e-05,0.0015875
1.555036709047081e-05,0.0015
1.5713198159480974e-05,0.0013875
1.587602922849114e-05,0.0019375
1.6038860297501306e-05,0.001275
1.620169136651147e-05,0.0021375
1.6364522435521637e-05,0.0021375
1.6527353504531802e-05,0.0011125
1.6690184573541968e-05,0.001575
1.6853015642552133e-05,0.00125
1.70158467115623e-05,0.001325
1.717867778057246e-05,0.0022625
1.734150884958263e-05,0.0012875
1.7504339918592796e-05,0.0013
1.766717098760296e-05,0.00185
1.7830002056613127e-05,0.00175
1.7992833125623292e-05,0.0014875
1.815566419463346e-05,0.0012875
1.831849526364362e-05,0.00145
1.8481326332653786e-05,0.0012875
1.8644157401663954e-05,0.001775
1.880698847067412e-05,0.00125
1.8969819539684286e-05,0.00155
1.913265060869445e-05,0.00145
1.929548167770462e-05,0.0011625
1.9458312746714786e-05,0.0006625
1.9621143815724944e-05,0.0014625
1.978397488473511e-05,0.001175
1.994680595374528e-05,0.000925
2.010963702275544e-05,0.0017
2.027246809176561e-05,0.0011125
2.0435299160775776e-05,0.000875
2.059813022978594e-05,0.0014375
2.0760961298796107e-05,0.0008875
2.0923792367806272e-05,0.0012
2.1086623436816434e-05,0.0015
2.1249454505826603e-05,0.000975
2.141228557483677e-05,0.0007875
2.1575116643846935e-05,0.0012125
2.17379477128571e-05,0.0011125
2.1900778781867266e-05,0.001225
2.206360985087743e-05,0.001075
2.2226440919887597e-05,0.0008125
2.238927198889776e-05,0.0007625
2.2552103057907928e-05,0.0011375
