Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
1.125575171281721e-07,0.362463
3.3767255138451624e-07,0.0305625
5.627875856408605e-07,0.0129125
7.879026198972046e-07,0.0137375
1.0130176541535488e-06,0.0071375
1.238132688409893e-06,0.00545
1.4632477226662369e-06,0.0045375
1.688362756922581e-06,0.006175
1.9134777911789255e-06,0.0038625
2.1385928254352698e-06,0.0056625
2.363707859691614e-06,0.0040625
2.5888228939479582e-06,0.003475
2.8139379282043025e-06,0.0065125
3.0390529624606463e-06,0.00545
3.264167996716991e-06,0.004925
3.4892830309733347e-06,0.0049
3.714398065229679e-06,0.0052375
3.939513099486023e-06,0.0057625
4.164628133742368e-06,0.0031
4.389743167998711e-06,0.0050625
4.6148582022550554e-06,0.0036875
4.8399732365114e-06,0.0061875
5.065088270767744e-06,0.0040625
5.290203305024088e-06,0.0056875
5.5153183392804315e-06,0.0036375
5.740433373536777e-06,0.0065375
5.965548407793121e-06,0.002975
6.190663442049466e-06,0.00565
6.4157784763058084e-06,0.0049875
6.6408935105621535e-06,0.0034125
6.866008544818498e-06,0.0057125
7.091123579074843e-06,0.0035375
7.316238613331185e-06,0.0037375
7.5413536475875304e-06,0.00635
7.766468681843874e-06,0.003325
7.991583716100219e-06,0.0020125
8.216698750356562e-06,0.0049875
8.441813784612907e-06,0.0031625
8.66692881886925e-06,0.0029875
8.892043853125596e-06,0.0038625
9.11715888738194e-06,0.00415
9.342273921638284e-06,0.003625
9.567388955894628e-06,0.0031125
9.792503990150973e-06,0.0036
1.0017619024407314e-05,0.0040625
1.0242734058663661e-05,0.0029625
1.0467849092920005e-05,0.0030125
1.069296412717635e-05,0.001775
1.0918079161432693e-05,0.0028
1.1143194195689036e-05,0.0038125
1.1368309229945382e-05,0.0031125
1.1593424264201727e-05,0.0040125
1.1818539298458068e-05,0.0040625
1.2043654332714415e-05,0.0031
1.2268769366970758e-05,0.002925
1.2493884401227102e-05,0.0019125
1.2718999435483447e-05,0.0031875
1.294411446973979e-05,0.003025
1.3169229503996134e-05,0.0022625
1.339434453825248e-05,0.001425
1.3619459572508822e-05,0.003125
1.3844574606765165e-05,0.0016375
1.4069689641021512e-05,0.0024375
1.4294804675277856e-05,0.00265
1.4519919709534199e-05,0.0024625
1.4745034743790544e-05,0.0022375
1.4970149778046887e-05,0.0022
1.5195264812303234e-05,0.0023625
1.5420379846559576e-05,0.0029625
1.564549488081592e-05,0.0024875
1.5870609915072266e-05,0.0015375
1.609572494932861e-05,0.002025
1.6320839983584953e-05,0.0024875
1.6545955017841296e-05,0.001875
1.677107005209764e-05,0.00135
1.6996185086353986e-05,0.003025
1.722130012061033e-05,0.0013875
1.7446415154866673e-05,0.0019875
1.767153018912302e-05,0.00205
1.7896645223379363e-05,0.0024375
1.812176025763571e-05,0.001375
1.834687529189205e-05,0.0031625
1.8571990326148393e-05,0.001225
1.879710536040474e-05,0.001175
1.9022220394661084e-05,0.0021
1.9247335428917427e-05,0.0013375
1.947245046317377e-05,0.001775
1.9697565497430117e-05,0.0022625
1.992268053168646e-05,0.001725
2.0147795565942804e-05,0.001425
2.037291060019915e-05,0.0014875
2.059802563445549e-05,0.002625
2.0823140668711837e-05,0.00155
2.1048255702968177e-05,0.0020375
2.1273370737224524e-05,0.0015875
2.149848577148087e-05,0.0015
2.1723600805737214e-05,0.0013875
2.1948715839993554e-05,0.0019375
2.21738308742499e-05,0.001275
2.2398945908506248e-05,0.0021375
2.262406094276259e-05,0.0021375
2.2849175977018935e-05,0.0011125
2.307429101127528e-05,0.001575
2.329940604553162e-05,0.00125
2.3524521079787965e-05,0.001325
2.374963611404431e-05,0.0022625
2.3974751148300655e-05,0.0012875
2.4199866182557e-05,0.0013
2.4424981216813345e-05,0.00185
2.465009625106969e-05,0.00175
2.4875211285326032e-05,0.0014875
2.510032631958238e-05,0.0012875
2.532544135383872e-05,0.00145
2.5550556388095062e-05,0.0012875
2.577567142235141e-05,0.001775
2.6000786456607752e-05,0.00125
2.62259014908641e-05,0.00155
2.6451016525120442e-05,0.00145
2.6676131559376786e-05,0.0011625
2.6901246593633133e-05,0.0006625
2.712636162788947e-05,0.0014625
2.7351476662145816e-05,0.001175
2.7576591696402163e-05,0.000925
2.7801706730658506e-05,0.0017
2.802682176491485e-05,0.0011125
2.8251936799171196e-05,0.000875
2.847705183342754e-05,0.0014375
2.8702166867683883e-05,0.0008875
2.8927281901940226e-05,0.0012
2.9152396936196566e-05,0.0015
2.9377511970452913e-05,0.000975
2.960262700470926e-05,0.0007875
2.9827742038965607e-05,0.0012125
3.0052857073221947e-05,0.0011125
3.0277972107478293e-05,0.001225
3.050308714173464e-05,0.001075
3.072820217599098e-05,0.0008125
3.095331721024732e-05,0.0007625
3.117843224450367e-05,0.0011375
