Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
3.8812913038774575e-08,0.362463
1.1643873911632372e-07,0.0305625
1.9406456519387287e-07,0.0129125
2.71690391271422e-07,0.0137375
3.493162173489712e-07,0.0071375
4.269420434265203e-07,0.00545
5.045678695040694e-07,0.0045375
5.821936955816185e-07,0.006175
6.598195216591677e-07,0.0038625
7.37445347736717e-07,0.0056625
8.150711738142661e-07,0.0040625
8.926969998918152e-07,0.003475
9.703228259693644e-07,0.0065125
1.0479486520469134e-06,0.00545
1.1255744781244626e-06,0.004925
1.2032003042020119e-06,0.0049
1.280826130279561e-06,0.0052375
1.3584519563571101e-06,0.0057625
1.4360777824346592e-06,0.0031
1.5137036085122082e-06,0.0050625
1.5913294345897574e-06,0.0036875
1.6689552606673065e-06,0.0061875
1.7465810867448555e-06,0.0040625
1.824206912822405e-06,0.0056875
1.901832738899954e-06,0.0036375
1.979458564977503e-06,0.0065375
2.0570843910550525e-06,0.002975
2.1347102171326015e-06,0.00565
2.2123360432101505e-06,0.0049875
2.2899618692877e-06,0.0034125
2.367587695365249e-06,0.0057125
2.445213521442798e-06,0.0035375
2.522839347520347e-06,0.0037375
2.600465173597896e-06,0.00635
2.6780909996754456e-06,0.003325
2.755716825752995e-06,0.0020125
2.8333426518305436e-06,0.0049875
2.910968477908093e-06,0.0031625
2.9885943039856417e-06,0.0029875
3.066220130063191e-06,0.0038625
3.14384595614074e-06,0.00415
3.2214717822182896e-06,0.003625
3.2990976082958386e-06,0.0031125
3.3767234343733877e-06,0.0036
3.4543492604509367e-06,0.0040625
3.531975086528486e-06,0.0029625
3.6096009126060356e-06,0.0030125
3.6872267386835842e-06,0.001775
3.7648525647611337e-06,0.0028
3.842478390838683e-06,0.0038125
3.920104216916232e-06,0.0031125
3.997730042993781e-06,0.0040125
4.07535586907133e-06,0.0040625
4.152981695148879e-06,0.0031
4.230607521226428e-06,0.002925
4.308233347303978e-06,0.0019125
4.385859173381526e-06,0.0031875
4.463484999459076e-06,0.003025
4.541110825536625e-06,0.0022625
4.618736651614175e-06,0.001425
4.696362477691723e-06,0.003125
4.773988303769273e-06,0.0016375
4.851614129846822e-06,0.0024375
4.929239955924371e-06,0.00265
5.00686578200192e-06,0.0024625
5.084491608079469e-06,0.0022375
5.162117434157018e-06,0.0022
5.239743260234568e-06,0.0023625
5.317369086312116e-06,0.0029625
5.394994912389665e-06,0.0024875
5.4726207384672144e-06,0.0015375
5.550246564544764e-06,0.002025
5.6278723906223125e-06,0.0024875
5.705498216699861e-06,0.001875
5.7831240427774106e-06,0.00135
5.860749868854961e-06,0.003025
5.9383756949325095e-06,0.0013875
6.016001521010059e-06,0.0019875
6.093627347087608e-06,0.00205
6.171253173165157e-06,0.0024375
6.2488789992427064e-06,0.001375
6.326504825320255e-06,0.0031625
6.4041306513978045e-06,0.001225
6.481756477475353e-06,0.001175
6.5593823035529026e-06,0.0021
6.637008129630452e-06,0.0013375
6.7146339557080015e-06,0.001775
6.792259781785551e-06,0.0022625
6.8698856078631e-06,0.001725
6.947511433940648e-06,0.001425
7.025137260018198e-06,0.0014875
7.102763086095747e-06,0.002625
7.1803889121732965e-06,0.00155
7.258014738250844e-06,0.0020375
7.335640564328394e-06,0.0015875
7.413266390405943e-06,0.0015
7.490892216483493e-06,0.0013875
7.568518042561041e-06,0.0019375
7.646143868638592e-06,0.001275
7.723769694716141e-06,0.0021375
7.801395520793689e-06,0.0021375
7.879021346871238e-06,0.0011125
7.956647172948788e-06,0.001575
8.034272999026335e-06,0.00125
8.111898825103885e-06,0.001325
8.189524651181434e-06,0.0022625
8.267150477258984e-06,0.0012875
8.344776303336533e-06,0.0013
8.422402129414083e-06,0.00185
8.500027955491632e-06,0.00175
8.577653781569182e-06,0.0014875
8.655279607646731e-06,0.0012875
8.732905433724277e-06,0.00145
8.810531259801827e-06,0.0012875
8.888157085879376e-06,0.001775
8.965782911956925e-06,0.00125
9.043408738034475e-06,0.00155
9.121034564112024e-06,0.00145
9.198660390189574e-06,0.0011625
9.276286216267123e-06,0.0006625
9.353912042344671e-06,0.0014625
9.43153786842222e-06,0.001175
9.50916369449977e-06,0.000925
9.58678952057732e-06,0.0017
9.664415346654869e-06,0.0011125
9.742041172732418e-06,0.000875
9.819666998809968e-06,0.0014375
9.897292824887517e-06,0.0008875
9.974918650965065e-06,0.0012
1.0052544477042613e-05,0.0015
1.0130170303120164e-05,0.000975
1.0207796129197712e-05,0.0007875
1.0285421955275261e-05,0.0012125
1.036304778135281e-05,0.0011125
1.044067360743036e-05,0.001225
1.0518299433507911e-05,0.001075
1.0595925259585457e-05,0.0008125
1.0673551085663007e-05,0.0007625
1.0751176911740556e-05,0.0011375
1.0828802737818106e-05,0.0005625
1.0906428563895653e-05,0.0011125
