Distribution Type,Histogram
Use,EMISSIONS
Units,scf_wholegas
Gas Type,whole_gas
Emission Unit,scf
Time Basis,s
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
1.2007018895023302e-07,0.362463
3.60210566850699e-07,0.0305625
6.00350944751165e-07,0.0129125
8.40491322651631e-07,0.0137375
1.080631700552097e-06,0.0071375
1.320772078452563e-06,0.00545
1.560912456353029e-06,0.0045375
1.801052834253495e-06,0.006175
2.0411932121539613e-06,0.0038625
2.281333590054427e-06,0.0056625
2.521473967954893e-06,0.0040625
2.761614345855359e-06,0.003475
3.0017547237558253e-06,0.0065125
3.241895101656291e-06,0.00545
3.4820354795567572e-06,0.004925
3.7221758574572234e-06,0.0049
3.962316235357689e-06,0.0052375
4.202456613258155e-06,0.0057625
4.442596991158621e-06,0.0031
4.682737369059087e-06,0.0050625
4.922877746959553e-06,0.0036875
5.163018124860019e-06,0.0061875
5.403158502760485e-06,0.0040625
5.643298880660951e-06,0.0056875
5.883439258561417e-06,0.0036375
6.123579636461883e-06,0.0065375
6.363720014362349e-06,0.002975
6.603860392262816e-06,0.00565
6.844000770163281e-06,0.0049875
7.084141148063748e-06,0.0034125
7.324281525964213e-06,0.0057125
7.5644219038646795e-06,0.0035375
7.804562281765145e-06,0.0037375
8.044702659665612e-06,0.00635
8.284843037566077e-06,0.003325
8.524983415466543e-06,0.0020125
8.76512379336701e-06,0.0049875
9.005264171267475e-06,0.0031625
9.24540454916794e-06,0.0029875
9.485544927068407e-06,0.0038625
9.725685304968873e-06,0.00415
9.96582568286934e-06,0.003625
1.0205966060769805e-05,0.0031125
1.0446106438670272e-05,0.0036
1.0686246816570737e-05,0.0040625
1.0926387194471204e-05,0.0029625
1.116652757237167e-05,0.0030125
1.1406667950272137e-05,0.001775
1.1646808328172602e-05,0.0028
1.1886948706073068e-05,0.0038125
1.2127089083973535e-05,0.0031125
1.2367229461874002e-05,0.0040125
1.2607369839774464e-05,0.0040625
1.2847510217674932e-05,0.0031
1.30876505955754e-05,0.002925
1.3327790973475865e-05,0.0019125
1.3567931351376328e-05,0.0031875
1.3808071729276797e-05,0.003025
1.404821210717726e-05,0.0022625
1.428835248507773e-05,0.001425
1.4528492862978191e-05,0.003125
1.4768633240878658e-05,0.0016375
1.5008773618779127e-05,0.0024375
1.5248913996679594e-05,0.00265
1.5489054374580058e-05,0.0024625
1.5729194752480525e-05,0.0022375
1.596933513038099e-05,0.0022
1.6209475508281456e-05,0.0023625
1.6449615886181923e-05,0.0029625
1.6689756264082386e-05,0.0024875
1.6929896641982853e-05,0.0015375
1.717003701988332e-05,0.002025
1.7410177397783784e-05,0.0024875
1.765031777568425e-05,0.001875
1.7890458153584718e-05,0.00135
1.8130598531485185e-05,0.003025
1.837073890938565e-05,0.0013875
1.8610879287286116e-05,0.0019875
1.8851019665186583e-05,0.00205
1.909116004308705e-05,0.0024375
1.9331300420987517e-05,0.001375
1.9571440798887977e-05,0.0031625
1.9811581176788444e-05,0.001225
2.0051721554688915e-05,0.001175
2.0291861932589378e-05,0.0021
2.0532002310489842e-05,0.0013375
2.077214268839031e-05,0.001775
2.101228306629078e-05,0.0022625
2.1252423444191243e-05,0.001725
2.149256382209171e-05,0.001425
2.1732704199992174e-05,0.0014875
2.1972844577892637e-05,0.002625
2.2212984955793108e-05,0.00155
2.2453125333693575e-05,0.0020375
2.269326571159404e-05,0.0015875
2.2933406089494502e-05,0.0015
2.3173546467394973e-05,0.0013875
2.3413686845295433e-05,0.0019375
2.3653827223195903e-05,0.001275
2.3893967601096367e-05,0.0021375
2.4134107978996834e-05,0.0021375
2.4374248356897304e-05,0.0011125
2.4614388734797768e-05,0.001575
2.4854529112698228e-05,0.00125
2.50946694905987e-05,0.001325
2.5334809868499162e-05,0.0022625
2.557495024639963e-05,0.0012875
2.5815090624300096e-05,0.0013
2.6055231002200563e-05,0.00185
2.6295371380101027e-05,0.00175
2.6535511758001498e-05,0.0014875
2.677565213590196e-05,0.0012875
2.7015792513802425e-05,0.00145
2.7255932891702892e-05,0.0012875
2.749607326960336e-05,0.001775
2.7736213647503823e-05,0.00125
2.7976354025404293e-05,0.00155
2.8216494403304757e-05,0.00145
2.8456634781205224e-05,0.0011625
2.869677515910569e-05,0.0006625
2.8936915537006154e-05,0.0014625
2.9177055914906618e-05,0.001175
2.941719629280708e-05,0.000925
2.9657336670707552e-05,0.0017
2.989747704860802e-05,0.0011125
3.0137617426508486e-05,0.000875
3.0377757804408953e-05,0.0014375
3.061789818230942e-05,0.0008875
3.085803856020988e-05,0.0012
3.109817893811035e-05,0.0015
3.133831931601081e-05,0.000975
3.1578459693911275e-05,0.0007875
3.1818600071811745e-05,0.0012125
3.2058740449712216e-05,0.0011125
3.229888082761268e-05,0.001225
3.253902120551315e-05,0.001075
3.277916158341361e-05,0.0008125
3.301930196131407e-05,0.0007625
3.325944233921454e-05,0.0011375
