Field,Value
Distribution Type,Histogram
Use,DRIVER
Units,sec
Source,Allen 2013 TableS1-6
Author,Clay Bell
Notes,Completion emisison durations in seconds from Allen et at 2013 SI Table S1-6
%%%ENDOFMETADATA%%%,
Duration,Probability
17280,0.037037037
45000,0.037037037
49680,0.037037037
54360,0.037037037
73800,0.037037037
85320,0.037037037
100440,0.037037037
100800,0.037037037
108360,0.037037037
108720,0.037037037
122760,0.037037037
123480,0.037037037
136080,0.037037037
160200,0.037037037
225000,0.037037037
246240,0.037037037
269640,0.074074074
388800,0.037037037
496800,0.111111111
520920,0.037037037
529920,0.037037037
590400,0.037037037
820800,0.037037037
1221120,0.037037037
