Field,Value
Distribution Type,Histogram
Use,EMISSIONS
Gas Type,whole_gas
Emission Unit,scf
TimeBasis,h
Activity Basis,Unit
Units,scf_wholegas
Source,Allen 2013 TableS1-6
Author,Clay Bell
Notes,Completion emission rates in scfh Methane from Allen et at 2013 SI Table S1-6.  Should be used with gas composition file for pure methane
%%%ENDOFMETADATA%%%,
EmissionRate,Probability
15.2173913,0.037037037
17.39130435,0.037037037
19.56521739,0.037037037
104.1666667,0.037037037
169.3121693,0.037037037
183.423913,0.037037037
233.7078652,0.037037037
416,0.037037037
431.8936877,0.037037037
570.1754386,0.037037037
794.7019868,0.074074074
833.3333333,0.074074074
874.6355685,0.037037037
1105.571848,0.037037037
1201.602136,0.037037037
1253.623188,0.037037037
1382.170007,0.037037037
1401.869159,0.037037037
1434.599156,0.037037037
1506.097561,0.037037037
2146.341463,0.037037037
2594.339623,0.037037037
6451.612903,0.037037037
7600,0.037037037
9285.714286,0.037037037
