Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Arthur Santos
Data Origin 1,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (RM Region). "
Notes,
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0,0.424
7.41078E-10,0.008
2.28034E-06,0.008
6.07314E-06,0.008
9.41282E-06,0.008
6.5389E-05,0.008
8.65905E-06,0.008
0.000382554,0.008
1.09804E-09,0.008
8.63238E-07,0.008
4.66428E-09,0.008
2.83643E-05,0.008
1.54446E-09,0.008
0.00017271,0.008
2.28606E-05,0.008
1.26078E-09,0.008
1.05488E-06,0.008
1.05655E-08,0.008
6.14255E-07,0.008
1.17056E-07,0.008
8.95206E-07,0.008
3.49121E-09,0.008
0.000146861,0.008
0.002172525,0.008
1.54338E-08,0.008
2.66997E-06,0.008
1.8061E-05,0.008
7.34828E-08,0.008
0.00040571,0.008
2.33908E-09,0.008
7.92641E-08,0.008
0.00013957,0.008
5.47084E-08,0.008
0.000165336,0.008
0.001496161,0.008
0.000272233,0.008
4.80305E-08,0.008
0.0004373,0.008
0.005488716,0.008
2.89398E-08,0.008
3.17492E-05,0.008
7.36016E-09,0.008
0.000135712,0.008
2.66219E-09,0.008
0.000139579,0.008
1.37501E-06,0.008
0.000129213,0.008
2.13043E-06,0.008
1.82137E-06,0.008
1.81396E-06,0.008
0.000146652,0.008
2.10897E-06,0.008
0.003822306,0.008
0.000377724,0.008
1.32101E-06,0.008
1.37127E-06,0.008
0.001426896,0.008
1.12645E-06,0.008
0.000495186,0.008
1.2902E-06,0.008
0.000335181,0.008
1.62396E-06,0.008
0.000140067,0.008
2.00281E-06,0.008
1.39629E-06,0.008
1.07881E-06,0.008
1.12081E-06,0.008
6.31503E-07,0.008
0.001708153,0.008
0.000739982,0.008
0.000849513,0.008
0.003134527,0.008
0.000997184,0.008
