Field,Value
File Type,EmissionDriver
Units,scf_wholegas
Time Basis,SECONDS
Distribution Type,Histogram
Author,Arthur Santos
Data Origin 1,"Allen 2015, Derived from data in SI Table S4-1 and S6-1 (RM Region). "
Notes,
%%%ENDOFMETADATA%%%,
EmissionFactor,Probability
0,0.40625
6.07314E-06,0.03125
4.66428E-09,0.03125
2.28606E-05,0.03125
1.17056E-07,0.03125
0.00040571,0.03125
0.00013957,0.03125
0.000165336,0.03125
0.000272233,0.03125
0.0004373,0.03125
3.17492E-05,0.03125
0.000135712,0.03125
0.000139579,0.03125
0.000129213,0.03125
1.82137E-06,0.03125
0.000146652,0.03125
0.000377724,0.03125
0.000495186,0.03125
0.000335181,0.03125
0.000140067,0.03125
