Parameter,Value
Number of Stages,2.0
Stage 1 Pressure (psia),264.65
Stage 2 Pressure (psia),39.65
Process Temperature (F),100.0
GOR [scf/stb],35455.08402
API gravity - stock tank condensate,59.50165003
%%%ENDOFMETADATA%%%,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,Delta H to Pipeline Pressure. (kJ/scf),LHV (kJ/scf),DeltaH - Stage 2 Pressure to Pipeline Pressure (kJ/scf)
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.040276128,0.001182857,0.000714945,0.080319963,0.381753218,1.030260478,0.318259228,0.822849352,0.247337395,0.229376432,0.227610046,0.246458571,3.06e-05,,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1.0,bbl/bbl,kg/bbl,0.233351825,0.058598811,0.002396934,1.235741895,1.445905668,1.927855113,0.447464503,1.075053812,0.289030607,0.262876715,0.251057576,0.2706131,3.62e-05,,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,1.0,bbl/bbl,kg/bbl,36.02635649,68.60577751,0.218470653,477.3690098,149.6428575,104.3957377,18.99265136,42.84747834,10.76400917,9.701963493,9.437003343,11.0900857,0.002486027,,,
Facility,Vapor,Default-LeakGc,1.0,bbl/bbl,kg/bbl,36.25970831,68.66437632,0.220867587,478.6047517,151.0887631,106.3235928,19.44011587,43.92253215,11.05303977,9.964840208,9.688060919,11.3606988,0.002522187,,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,61.20763032,scf/bbl,kg/scf,0.000658025,1.93e-05,1.17e-05,0.001312254,0.00623702,0.016832223,0.005199666,0.013443575,0.004040957,0.003747514,0.003718655,0.004026599,5.01e-07,,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,180.2533512,scf/bbl,kg/scf,0.001294577,0.000325091,1.33e-05,0.006855583,0.008021519,0.010695253,0.00248242,0.005964127,0.001603469,0.001458374,0.001392804,0.001501293,2.01e-07,89.11538021,,90.43
Stage1,Vapor,Well-Condensate.Stage1-Flash,35086.56143,scf/bbl,kg/scf,0.001026785,0.001955329,6.23e-06,0.013605466,0.004264962,0.002975377,0.000541308,0.001221193,0.000306784,0.000276515,0.000268963,0.000316078,7.09e-08,89.11538021,-6078309.709121677,85.78
Facility,Vapor,Default-LeakGc,35266.81478,scf/bbl,kg/scf,0.001028154,0.001946997,6.26e-06,0.013570966,0.004284162,0.003014834,0.00055123,0.001245435,0.000313412,0.000282556,0.000274708,0.000322136,7.15e-08,,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,73.16148053,mol/bbl,mol/mol,0.012508748,0.00057742,0.000286742,0.0684442,0.173526894,0.319319886,0.074846744,0.193513933,0.04685662,0.043454021,0.036099605,0.030889067,1.87e-06,,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,215.4568307,mol/bbl,mol/mol,0.024609317,0.009713383,0.000326435,0.3575717,0.223175371,0.202896958,0.035733266,0.085850797,0.018592904,0.016910464,0.01352093,0.011516802,7.51e-07,,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,41938.96688,mol/bbl,mol/mol,0.019518716,0.058423145,0.000152854,0.709630266,0.118660135,0.056445126,0.00779188,0.017578505,0.003557296,0.00320631,0.002611018,0.002424714,2.65e-07,,,
Facility,Vapor,Default-LeakGc,42154.42371,mol/bbl,mol/mol,0.019544735,0.058174183,0.000153741,0.707830848,0.119194326,0.057193661,0.007934692,0.017927454,0.003634145,0.003276354,0.00266678,0.002471185,2.68e-07,,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.03689029,0.014820072,0.007927297,0.002581426,0.002593301,0.000472425,0.000425813,0.001299427,0.000326992,7.33e-08,,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,3.092064653,mol/bbl,mol/mol,0.0,0.0,0.0,0.743805083,0.159392663,0.05813504,0.014364334,0.014430412,0.00211762,0.001908682,0.004876372,0.000969687,1.06e-07,,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,2.586852382,scf/bbl,kg/scf,0.0,0.0,0.0,0.014260686,0.005728998,0.003064457,0.000997902,0.001002493,0.000182625,0.000164606,0.00050232,0.000126405,2.83e-08,,,
Stage1,Vapor,Well-Water.Stage1-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stage1,Vapor,Well-Water.Stage1-Flash,0.0,mol/bbl,mol/mol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stage1,Vapor,Well-Water.Stage1-Flash,0.0,scf/bbl,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.11538021,,0.0
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.002784931,0.004176025,0.00426919,0.001773623,0.001897521,0.00036994,0.000336465,0.001008138,0.000232691,3.11e-08,,,
