MajorEquipment,emitterModelFactorTag,factorTag,Emitter,activityDistribution,emissionDriver,notes,correctFactors
,,,,,,,
ContinuousWells,Well_state_based_emitter,wellpad,StateBasedEmitterProduction,N/A,WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes
ContinuousWells,Well_component_leak,wellpad,LeakProduction,N/A,Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes
ContinuousWells,Well_pneumatic,wellpad,PneumaticEmitterProduction,Wellhead/Pneumatics/Allen_Wellhead_PC_AF.csv,Wellhead/Pneumatics/Allen_Wellhead_PC_EF.csv,allen+other studies,yes
,,,,,,,
CyclingWells,Cyc_Well_state_based_emitter,wellpad,StateBasedEmitterProduction,N/A,WellCompletions/Allen2013/EmissionRates.csv,allen+other studies,yes
CyclingWells,Cyc_Well_component_leak,wellpad,LeakProduction,N/A,Wellhead/ComponentLeaks/EmissionFactor_Wellheads_AllStudies.csv,allen+other studies,yes
CyclingWells,Cyc_Well_pneumatic,wellpad,PneumaticEmitterProduction,Wellhead/Pneumatics/Allen_Wellhead_PC_AF.csv,Wellhead/Pneumatics/Allen_Wellhead_PC_EF.csv,allen+other studies,yes
,,,,,,,
Separators,Dump_Sep_component_leak,gef_sep,LeakProduction,N/A,GEFCombined/EmissionsData/GEFC_EF_Separator Component.csv,gathering study,yes
Separators,Dump_Sep_pneumatic,gef_sep,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,GEFCombined/EmissionsData/GEFC_EF_Pneumatic Any.csv,gathering study,yes
,,,,,,,
Separators,Sep_component_leak,gef_sep,LeakProduction,N/A,GEFCombined/EmissionsData/GEFC_EF_Separator Component.csv,gathering study,yes
Separators,Sep_pneumatic,gef_sep,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Separator Pneumatic Controller.csv,GEFCombined/EmissionsData/GEFC_EF_Pneumatic Any.csv,gathering study,yes
,,,,,,,
Dehydrators,Dehy_component_leak,gef_dehy,LeakProduction,20,GEFCombined/EmissionsData/GEFC_EF_Dehydrator Component.csv,gef study,yes
Dehydrators,Dehy_emp_still_vent,gef_dehy,EmpiricalFlowProduction,N/A,GHGRP/EmissionsData/GHGRP_EF_Gathering Dehydrator Still Vent (GT 25 MMscfd).csv,ghgrp,no
Dehydrators,Dehy_pneumatic,gef_dehy,PneumaticEmitterProduction,GEFCombined/ActivityData/GEFC_AF_Dehydrator Pneumatic Controller.csv,GEFCombined/EmissionsData/GEFC_EF_Pneumatic Any.csv,gef study,yes
,,,,,,,
