Parameter,Value,,,,,,,,,,,,,,,,,
Number of Stages,2,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),159.65,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),29.65,,,,,,,,,,,,,,,,,
Process Temperature (F),100,,,,,,,,,,,,,,,,,
GOR [scf/stb],492.7792117,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,38.82024322,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.037999773,3.82E-05,2.31E-11,0.03893144,0.146994621,0.214246266,0.048696419,0.099306525,0.020370507,0.016362405,0.033800085,0.002301254,3.14E-11
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1,bbl/bbl,kg/bbl,0.222564653,0.001338745,9.63E-11,0.485857647,0.644460474,0.641760326,0.129283785,0.256825911,0.05068736,0.040459849,0.082678171,0.005731641,8.69E-11
Stage1,Vapor,Well-Condensate.Stage1-Flash,1,bbl/bbl,kg/bbl,1.076913972,0.045995382,2.93E-10,5.668477238,2.138574775,1.185813351,0.193166172,0.36467701,0.06759342,0.053473527,0.109552232,0.009064066,2.96E-10
Facility,Vapor,Default-LeakGc,1,bbl/bbl,kg/bbl,1.299478625,0.047334128,3.90E-10,6.154334885,2.783035249,1.827573677,0.322449957,0.621502921,0.11828078,0.093933377,0.192230404,0.014795707,3.83E-10
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,13.80235993,scf/bbl,kg/scf,0.002753136,2.76E-06,1.68E-12,0.002820637,0.010649963,0.015522437,0.003528123,0.007194895,0.001475871,0.001185479,0.002448863,0.000166729,2.28E-12
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,67.15109768,scf/bbl,kg/scf,0.003314386,1.99E-05,1.43E-12,0.00723529,0.00959717,0.00955696,0.001925267,0.003824597,0.000754825,0.00060252,0.001231226,8.54E-05,1.29E-12
Stage1,Vapor,Well-Condensate.Stage1-Flash,410.0394375,scf/bbl,kg/scf,0.002626367,0.000112173,7.16E-13,0.013824224,0.005215534,0.00289195,0.000471092,0.000889371,0.000164846,0.000130411,0.000267175,2.21E-05,7.23E-13
Facility,Vapor,Default-LeakGc,477.1905352,scf/bbl,kg/scf,0.002723186,9.92E-05,8.17E-13,0.012897018,0.005832126,0.003829862,0.000675726,0.001302421,0.000247869,0.000196847,0.000402838,3.10E-05,8.03E-13
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,16.49796082,mol/bbl,mol/mol,0.05233586,8.26E-05,4.12E-11,0.14711801,0.296304158,0.294472271,0.050785666,0.103567123,0.017113358,0.013746133,0.023772839,0.00088956,4.40E-12
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,80.26570706,mol/bbl,mol/mol,0.063004967,0.000595676,3.52E-11,0.377376318,0.267013256,0.181302687,0.027713311,0.05505328,0.008752524,0.006986471,0.011952378,0.000455397,2.50E-12
