Parameter,Value,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),159.65,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),154.65,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),29.65,,,,,,,,,,,,,,,,,
Process Temperature (F),70,,,,,,,,,,,,,,,,,
GOR [scf/stb],994.8684775,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,49.86272812,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.013737298,6.14E-05,3.81E-11,0.061241245,0.18443825,0.552919278,0.07323994,0.261960221,0.068720701,0.054634359,0.056040146,0.004251789,6.65E-11
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,1,bbl/bbl,kg/bbl,0.063925192,0.002316133,1.20E-10,0.712099675,0.621094053,1.19276438,0.138542906,0.481832311,0.121753091,0.096244019,0.097921751,0.007551641,1.31E-10
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1,bbl/bbl,kg/bbl,0.001046174,0.000330809,1.22E-12,0.031087201,0.006994527,0.007630733,0.000745337,0.002493332,0.000608429,0.000479528,0.000497373,4.44E-05,1.55E-12
Stage1,Vapor,Well-Condensate.Stage1-Flash,1,bbl/bbl,kg/bbl,0.435505484,0.154620702,5.06E-10,13.27869453,2.8996679,3.152671556,0.307989353,1.030346809,0.251675002,0.198405525,0.206098506,0.01850488,6.64E-10
Facility,Vapor,Default-LeakGc,1,bbl/bbl,kg/bbl,0.500476849,0.157267644,6.27E-10,14.02188141,3.52775648,4.353066668,0.447277597,1.514672452,0.374036522,0.295129073,0.30451763,0.026100924,7.96E-10
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,25.89677914,scf/bbl,kg/scf,0.000530464,2.37E-06,1.47E-12,0.002364821,0.007122054,0.02135089,0.002828149,0.010115552,0.002653639,0.002109697,0.002163981,0.000164182,2.57E-12
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,90.76260968,scf/bbl,kg/scf,0.000704312,2.55E-05,1.32E-12,0.007845738,0.006843061,0.013141583,0.001526431,0.005308709,0.001341445,0.001060393,0.001078878,8.32E-05,1.44E-12
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,2.054799389,scf/bbl,kg/scf,0.000509137,0.000160993,5.95E-13,0.015129069,0.003403995,0.003713614,0.00036273,0.001213419,0.000296101,0.00023337,0.000242054,2.16E-05,7.55E-13
Stage1,Vapor,Well-Condensate.Stage1-Flash,872.5592224,scf/bbl,kg/scf,0.000499113,0.000177204,5.80E-13,0.015218101,0.003323176,0.003613132,0.000352972,0.001180833,0.000288433,0.000227383,0.0002362,2.12E-05,7.61E-13
Facility,Vapor,Default-LeakGc,965.3766315,scf/bbl,kg/scf,0.000518427,0.000162908,6.49E-13,0.014524778,0.00365428,0.00450919,0.000463319,0.001568996,0.000387451,0.000305714,0.000315439,2.70E-05,8.24E-13
