Parameter,Value,,,,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),118.65,,,,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),39.65,,,,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),16.79,,,,,,,,,,,,,,,,,,,,,
Process Temperature (F),100,,,,,,,,,,,,,,,,,,,,,
GOR [scf/stb],43446.57265,,,,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,56.15608621,,,,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,DeltaH - Stage 1 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 2 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 3 Pressure to Pipeline Pressure (kJ/scf),LHV (kJ/scf)
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.003553663,6.09E-05,4.75E-05,0.007217904,0.027419951,0.043334936,0.010228072,0.024809773,0.007146119,0.006725736,0.007877971,0.012377356,1.81E-06,41.56,41.56,41.56,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,1,bbl/bbl,kg/bbl,0.031549397,0.001498726,0.000382176,0.088723962,0.224696704,0.326289598,0.07538862,0.182023806,0.05210322,0.04898841,0.057278713,0.08999398,1.32E-05,41.56,41.56,41.56,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1,bbl/bbl,kg/bbl,0.057108417,0.018629374,0.000473211,0.366082098,0.30177659,0.289994702,0.058857427,0.137881959,0.03789347,0.035393168,0.040971513,0.064652632,1.01E-05,41.56,41.56,41.56,
Stage1,Vapor,Well-Condensate.Stage1-Flash,1,bbl/bbl,kg/bbl,44.14538579,83.66972934,0.269122998,582.9583158,184.025592,130.6578533,24.47124638,56.27186134,15.23989955,14.20731742,16.6078165,26.94649637,0.004968353,41.56,41.56,41.56,
Facility,Vapor,Default-LeakGc,1,bbl/bbl,kg/bbl,44.2340436,83.68985744,0.269978386,583.4131219,184.5520653,131.2741376,24.60549243,56.59176711,15.32989624,14.29169899,16.70606672,27.10114298,0.004991667,41.56,41.56,41.56,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,2.867539859,scf/bbl,kg/scf,0.001239272,2.12E-05,1.66E-05,0.002517107,0.009562187,0.015112235,0.003566846,0.008651936,0.002492073,0.002345472,0.002747292,0.004316367,6.32E-07,41.56,41.56,41.56,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,23.83836177,scf/bbl,kg/scf,0.001323472,6.29E-05,1.60E-05,0.003721898,0.009425845,0.013687585,0.003162492,0.007635751,0.002185688,0.002055024,0.002402796,0.003775175,5.55E-07,41.56,41.56,41.56,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,39.19667586,scf/bbl,kg/scf,0.001456971,0.000475279,1.21E-05,0.009339621,0.007699035,0.007398451,0.001501592,0.003517695,0.000966752,0.000902963,0.00104528,0.001649442,2.57E-07,41.56,23.69,39.94,
Stage1,Vapor,Well-Condensate.Stage1-Flash,43221.74308,scf/bbl,kg/scf,0.00102137,0.001935825,6.23E-06,0.013487617,0.004257709,0.003022966,0.000566179,0.001301934,0.000352598,0.000328708,0.000384247,0.000623448,1.15E-07,41.56,22.95,38.33,8865.724476
Facility,Vapor,Default-LeakGc,43284.77812,scf/bbl,kg/scf,0.001021931,0.001933471,6.24E-06,0.013478482,0.004263671,0.003032801,0.000568456,0.001307429,0.000354164,0.000330178,0.000385957,0.000626113,1.15E-07,41.56,22.95,38.33,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,3.427570394,mol/bbl,mol/mol,0.023558001,0.000634912,0.000406769,0.131286589,0.266039956,0.286690423,0.051343067,0.124540554,0.028896653,0.027196754,0.026669906,0.033111956,2.36E-06,41.56,22.95,38.33,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,28.49399383,mol/bbl,mol/mol,0.025158594,0.001878499,0.00039356,0.194125791,0.262246649,0.259663743,0.04552258,0.10991305,0.025343985,0.023828883,0.023325633,0.028960329,2.08E-06,41.56,22.95,38.33,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,46.85178665,mol/bbl,mol/mol,0.027696354,0.014200841,0.000296367,0.487133471,0.214203204,0.140354169,0.021614715,0.050635568,0.011209904,0.010470247,0.010147273,0.012653288,9.62E-07,41.56,22.95,38.33,
Stage1,Vapor,Well-Condensate.Stage1-Flash,51662.94951,mol/bbl,mol/mol,0.019415776,0.05784038,0.000152852,0.703483541,0.118458328,0.057347928,0.008149881,0.018740729,0.004088524,0.003811506,0.003730155,0.004782626,4.30E-07,41.56,22.95,38.33,
