Parameter,Value,,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),164.65,,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),44.65,,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),19.65,,,,,,,,,,,,,,,,,,,
Process Temperature (F),70,,,,,,,,,,,,,,,,,,,
GOR [scf/stb],31397.19264,,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,62.34830797,,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,Delta H to Pipeline Pressure. (kJ/scf),LHV (kJ/scf)
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.014660783,6.69E-05,0.000256859,0.015049861,0.139960232,0.287545295,0.068870629,0.163743322,0.041783569,0.037008665,0.030589162,0.02402572,1.30E-06,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,1,bbl/bbl,kg/bbl,0.053801415,0.001615072,0.000711569,0.118464679,0.410134728,0.640892148,0.143014312,0.334993017,0.083837692,0.074038789,0.060910677,0.04790537,2.64E-06,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1,bbl/bbl,kg/bbl,0.130737096,0.032937263,0.001154877,0.727303525,0.725141296,0.733112724,0.144459095,0.329291971,0.079718889,0.070071851,0.057419996,0.045633401,2.71E-06,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,1,bbl/bbl,kg/bbl,32.06758669,61.01900932,0.194550855,424.7595264,133.246175,92.7523408,16.72171502,37.40998611,9.009888841,7.930030873,6.676234599,5.613340523,0.000449488,,
Facility,Vapor,Default-LeakGc,1,bbl/bbl,kg/bbl,32.2521252,61.05356165,0.196417301,425.6052946,134.381451,94.12634568,17.00918843,38.0742711,9.173445422,8.074141513,6.794565273,5.706879294,0.000454831,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,15.15846654,scf/bbl,kg/scf,0.000967168,4.42E-06,1.69E-05,0.000992835,0.009233139,0.018969286,0.004543377,0.010802103,0.002756451,0.002441452,0.002017959,0.00158497,8.57E-08,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,40.49084524,scf/bbl,kg/scf,0.00132873,3.99E-05,1.76E-05,0.002925715,0.010129073,0.015828075,0.003532016,0.008273303,0.002070535,0.001828532,0.001504307,0.001183116,6.51E-08,62.56377678,12997.13004
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,84.93159744,scf/bbl,kg/scf,0.001539322,0.000387809,1.36E-05,0.008563403,0.008537945,0.008631802,0.001700888,0.003877143,0.000938625,0.000825039,0.000676073,0.000537296,3.19E-08,38.58298758,12997.13004
Stage1,Vapor,Well-Condensate.Stage1-Flash,31142.29084,scf/bbl,kg/scf,0.001029712,0.001959362,6.25E-06,0.013639315,0.004278625,0.00297834,0.000536946,0.00120126,0.000289314,0.000254639,0.000214378,0.000180248,1.44E-08,,12997.13004
Facility,Vapor,Default-LeakGc,31267.71329,scf/bbl,kg/scf,0.001031483,0.001952607,6.28E-06,0.013611654,0.00429777,0.003010337,0.000543986,0.001217686,0.000293384,0.000258226,0.000217303,0.000182517,1.45E-08,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,18.11891505,mol/bbl,mol/mol,0.018385423,0.000131935,0.00041597,0.051784041,0.256885173,0.359861584,0.065399775,0.155491195,0.031962226,0.028309676,0.01958975,0.012158712,3.21E-07,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,48.39870732,mol/bbl,mol/mol,0.025258559,0.001191791,0.000431404,0.152598673,0.281811917,0.300270453,0.050841708,0.119090299,0.024008732,0.021202604,0.014603373,0.009075985,2.44E-07,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,101.5187384,mol/bbl,mol/mol,0.029261814,0.011587327,0.000333803,0.446647715,0.237543416,0.163751752,0.024483476,0.055809653,0.010883753,0.009566676,0.006563122,0.004121734,1.19E-07,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,37224.38025,mol/bbl,mol/mol,0.019574354,0.05854363,0.000153358,0.711395786,0.119040255,0.056501349,0.007729079,0.017291572,0.003354715,0.002952644,0.002081122,0.00138273,5.40E-08,,
Facility,Vapor,Default-LeakGc,37374.29769,mol/bbl,mol/mol,0.019608028,0.058341815,0.000154208,0.709953031,0.119572926,0.057108344,0.007830418,0.017528024,0.003401912,0.002994243,0.002109513,0.001400132,5.45E-08,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,1,bbl/bbl,kg/bbl,0,0,0,0.031340246,0.014276291,0.008092302,0.003684279,0.00270401,0.000478788,0.000421404,0.002902727,0.000239515,1.92E-08,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,2.770418778,mol/bbl,mol/mol,0,0,0,0.705265451,0.171370692,0.066235081,0.022881339,0.016793347,0.002395311,0.002108227,0.012157779,0.000792741,3.10E-08,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,2.317760209,scf/bbl,kg/scf,0,0,0,0.013521781,0.00615952,0.003491432,0.001589586,0.001166648,0.000206574,0.000181815,0.001252384,0.000103339,8.27E-09,,
Stage1,Vapor,Well-Water.Stage1-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stage1,Vapor,Well-Water.Stage1-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stage1,Vapor,Well-Water.Stage1-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,1,bbl/bbl,kg/bbl,0,0,0,0.005336002,0.007725459,0.006360027,0.003164882,0.002366698,0.000421237,0.000370262,0.00248244,0.000193614,1.15E-08,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,0.870528563,mol/bbl,mol/mol,0,0,0,0.382145335,0.295126242,0.165667509,0.062553109,0.046777201,0.006706673,0.005895077,0.033089425,0.002039371,5.90E-08,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,0.72829295,scf/bbl,kg/scf,0,0,0,0.007326724,0.010607625,0.008732787,0.004345617,0.003249651,0.000578389,0.000508397,0.003408573,0.000265846,1.58E-08,,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,1,bbl/bbl,kg/bbl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,mol/bbl,mol/mol,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0,scf/bbl,kg/scf,0,0,0,0,0,0,0,0,0,0,0,0,0,,
