Parameter,Value,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),159.65,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),154.65,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),14.75,,,,,,,,,,,,,,,,,,
Process Temperature (F),70,,,,,,,,,,,,,,,,,,
GOR [scf/stb],6529.420351,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,60.64357811,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,NITROUS_OXIDE
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,5.65E-05,1.49E-07,1.88E-07,0.000507429,0.000791233,0.001222951,0.000585922,0.000804341,0.00039745,0.000275995,0.000195725,0.000129684,1.89E-09,NA
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,1,bbl/bbl,kg/bbl,0.096511109,0.000273751,0.000320021,0.879917428,1.347677638,2.077283922,0.994552216,1.365022964,0.674301601,0.468205007,0.331955199,0.21984746,3.19E-06,NA
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1,bbl/bbl,kg/bbl,0.001309469,4.06E-05,2.29E-06,0.037165182,0.011294113,0.006873438,0.002167202,0.00265186,0.001116655,0.000755787,0.000521744,0.000367779,8.32E-09,NA
Stage1,Vapor,Well-Condensate.Stage1-Flash,1,bbl/bbl,kg/bbl,3.238444924,0.113408461,0.005629781,94.41674079,27.81430384,16.86906564,5.319633301,6.509758258,2.743819989,1.857619525,1.284312537,0.907880499,2.08E-05,NA
Well,Condensate,Well-Condensate,1,bbl/bbl,kg/bbl,3.345752963,0.113724809,0.006018232,95.35836143,29.40468384,20.2907927,7.938807487,11.12048857,7.568191757,6.217639019,10.82806218,69.48426519,26.09546511,NA
Facility,Vapor,Default-LeakGc,1,bbl/bbl,kg/bbl,3.336265501,0.113722778,0.005952092,95.33382341,29.17327559,18.95322299,6.316352719,7.877433082,3.419238246,2.326580319,1.61678948,1.128095738,2.40E-05,NA
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,0.10341665,scf/bbl,kg/scf,0.000546756,1.44E-06,1.82E-06,0.004906648,0.007650925,0.011825477,0.005665644,0.00777767,0.003843195,0.002668764,0.001892589,0.001253999,1.82E-08,NA
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,176.6831449,scf/bbl,kg/scf,0.000546238,1.55E-06,1.81E-06,0.0049802,0.007627653,0.011757114,0.005629016,0.007725824,0.003816446,0.00264997,0.001878816,0.001244304,1.81E-08,NA
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,2.507882583,scf/bbl,kg/scf,0.000522141,1.62E-05,9.13E-07,0.014819347,0.004503446,0.002740733,0.000864156,0.00105741,0.000445258,0.000301365,0.000208042,0.000146649,3.32E-09,NA
Stage1,Vapor,Well-Condensate.Stage1-Flash,6326.343374,scf/bbl,kg/scf,0.000511898,1.79E-05,8.90E-07,0.014924378,0.004396585,0.00266648,0.00084087,0.001028992,0.000433713,0.000293632,0.00020301,0.000143508,3.29E-09,NA
