Parameter,Value,,,,,,,,,,,,,,,,,,,
Number of Stages,2,,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),164.65,,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),44.65,,,,,,,,,,,,,,,,,,,
Process Temperature (F),100,,,,,,,,,,,,,,,,,,,
GOR [scf/stb],39371.08867,,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,57.60949695,,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,Delta H to Pipeline Pressure. (kJ/scf),LHV (kJ/scf)
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,1,bbl/bbl,kg/bbl,0.04676911,0.001642901,0.000694089,0.106898502,0.387388097,0.770766533,0.204673146,0.510966763,0.150738524,0.141334881,0.155461399,0.205314459,2.75E-05,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1,bbl/bbl,kg/bbl,0.09922316,0.029107597,0.000878691,0.591544398,0.550438399,0.573290368,0.118788519,0.278617276,0.075009018,0.069236137,0.074002335,0.097768393,1.42E-05,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,1,bbl/bbl,kg/bbl,40.03868779,75.98828513,0.243714937,529.2468095,166.7352782,117.7570737,21.85369532,49.94093039,13.18003474,12.13772032,13.18319232,18.20632647,0.003430943,,
Facility,Vapor,Default-LeakGc,1,bbl/bbl,kg/bbl,40.13791095,76.01739272,0.244593628,529.8383539,167.2857166,118.3303641,21.97248384,50.21954767,13.25504376,12.20695646,13.25719465,18.30409486,0.00344513,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,48.68797366,scf/bbl,kg/scf,0.000960589,3.37E-05,1.43E-05,0.002195583,0.007956546,0.015830738,0.004203772,0.010494722,0.003096011,0.00290287,0.003193014,0.004216944,5.64E-07,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,68.63978432,scf/bbl,kg/scf,0.001445563,0.000424063,1.28E-05,0.008618098,0.008019233,0.008352159,0.001730607,0.004059122,0.001092792,0.001008688,0.001078126,0.001424369,2.07E-07,38.631119,
Stage1,Vapor,Well-Condensate.Stage1-Flash,39109.32911,scf/bbl,kg/scf,0.001023763,0.001942971,6.23E-06,0.013532495,0.004263312,0.003010971,0.000558785,0.001276957,0.000337005,0.000310354,0.000337086,0.000465524,8.77E-08,,12361.89794
Facility,Vapor,Default-LeakGc,39177.9689,scf/bbl,kg/scf,0.001024502,0.00194031,6.24E-06,0.013523885,0.004269893,0.003020329,0.000560838,0.001281831,0.000338329,0.000311577,0.000338384,0.000467204,8.79E-08,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Tank-Flash,58.19673491,mol/bbl,mol/mol,0.018260351,0.001008219,0.000349959,0.11451665,0.221367685,0.300320958,0.060511322,0.15106659,0.035899575,0.033660022,0.030996843,0.032349254,2.11E-06,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,82.0451342,mol/bbl,mol/mol,0.027479502,0.012670551,0.000314256,0.449500472,0.223111762,0.15844671,0.024911279,0.058429155,0.012671392,0.01169617,0.01046613,0.0109267,7.74E-07,,
