Parameter,Value
Number of Stages,3.0
Stage 1 Pressure (psia),164.65
Stage 2 Pressure (psia),44.65
Stage 3 Pressure (psia),15.65
Process Temperature (F),100.0
GOR [scf/stb],39294.4194853913
API gravity - stock tank condensate,57.6942422433067
%%%ENDOFMETADATA%%%,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,Delta H to Pipeline Pressure. (kJ/scf),LHV (kJ/scf)
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.001686821190001,2.86844859482666e-05,2.60113287073045e-05,0.0031630968108941,0.0144419257222563,0.0288558720744478,0.0075494210666785,0.0187490404350405,0.0054797671882188,0.0051287016663361,0.0056184395737439,0.0074095424213637,9.9270237128794e-07,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,1.0,bbl/bbl,kg/bbl,0.0449976220147611,0.0016325419086098,0.000651842703782,0.105196421400238,0.366148190666307,0.694428481646751,0.179343707198633,0.44415271632311,0.129312478307622,0.120950301376028,0.132337963298144,0.174480743744588,2.34208604511807e-05,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1.0,bbl/bbl,kg/bbl,0.0990450513440713,0.0290553475579122,0.0008771142175812,0.590482556305949,0.549450343876956,0.57226129258986,0.118575289471494,0.278117148711859,0.0748743745093636,0.0691118559123951,0.0738694987276198,0.0975928956753273,1.41618572419698e-05,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,1.0,bbl/bbl,kg/bbl,39.9668170278763,75.8518836599761,0.243277460675674,528.296794086269,166.435982899078,117.545695917086,21.8144672155437,49.85128478113,13.1563761458866,12.1159327146439,13.1595280547103,18.1736455157056,0.003424784168835,,
Facility,Vapor,Default-LeakGc,1.0,bbl/bbl,kg/bbl,40.1108597012352,75.8825715494426,0.244806417597037,528.992473063975,167.351581433621,118.812385691323,22.1123862122138,50.573554646165,13.3605629987036,12.3059948719323,13.365735516736,18.4457191551255,0.0034623668865281,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1.76002090072773,scf/bbl,kg/scf,0.0009584097491703,1.62978098364662e-05,1.47789885316415e-05,0.0017971927546918,0.0082055421707122,0.0163951871608551,0.0042893928495718,0.0106527373778847,0.0031134671105059,0.0029140004327309,0.0031922573029791,0.0042099172903572,5.64028740157279e-07,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,44.2532335192053,scf/bbl,kg/scf,0.0010168211096988,3.68909066927574e-05,1.47298321940506e-05,0.0023771465503099,0.008273930774062,0.0156921523338036,0.0040526689901835,0.0100366161069417,0.002922102364599,0.0027331404229147,0.0029904699108758,0.0039427795410445,5.29246307866213e-07,69.55860993983357,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,68.5165736529801,scf/bbl,kg/scf,0.0014455634025967,0.0004240630552407,1.28014897829488e-05,0.0086180981450794,0.0080192326408467,0.0083521586395756,0.0017306074012406,0.0040591222515074,0.0010927921598733,0.0010086881498545,0.0010781259889286,0.0014243691777351,2.06692432019385e-07,38.63111899695964,
Stage1,Vapor,Well-Condensate.Stage1-Flash,39039.1265802647,scf/bbl,kg/scf,0.0010237630943331,0.0019429708168297,6.23163174963696e-06,0.0135324952262978,0.004263312155739,0.0030109714589902,0.0005587847148857,0.0012769569697886,0.000337004879421,0.0003103535805221,0.0003370856165968,0.0004655238758567,8.77269669902483e-08,,12361.897941060995
Facility,Vapor,Default-LeakGc,39151.8963874369,scf/bbl,kg/scf,0.0010244934065085,0.0019381582643795,6.25273461020884e-06,0.0135112860901859,0.004274418275364,0.0030346521281009,0.0005647845507506,0.0012917268207318,0.0003412494471912,0.0003143141458629,0.0003413815613034,0.0004711322019396,8.84342064114975e-08,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,2.10375298263986,mol/bbl,mol/mol,0.0182189328328794,0.0004869611286008,0.000362800775348,0.0937375019476686,0.228295280857458,0.311028989787762,0.0617437920219045,0.153341142719006,0.0361019805105914,0.0337890792150399,0.0309894936317076,0.0322953500199474,2.11136164477377e-06,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,52.895890025506,mol/bbl,mol/mol,0.019329306193613,0.0011022608398596,0.0003615940650679,0.123986577849169,0.23019799430215,0.297691892144527,0.0583362634384236,0.144472366892803,0.033883024574351,0.0316919301790037,0.0290306010647742,0.0302460681641363,1.98115853946602e-06,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,81.8978604874071,mol/bbl,mol/mol,0.0274795019148928,0.0126705505862477,0.0003142563111758,0.449500472083797,0.223111761528427,0.158446709923308,0.0249112793351242,0.0584291550990897,0.0126713916857354,0.0116961697794824,0.0104661295431612,0.0109266995002363,7.73723823202784e-07,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,46663.4680013904,mol/bbl,mol/mol,0.0194612701598487,0.0580538901420363,0.0001529766956386,0.705824288641413,0.118614227521907,0.0571203855120062,0.0080434430771179,0.0183811948050926,0.0039077154686426,0.0035986822785429,0.0032723278788082,0.0035711524660759,3.28393466729897e-07,,
Facility,Vapor,Default-LeakGc,46798.2617519033,mol/bbl,mol/mol,0.0194751530616887,0.0579100962214969,0.0001534947374627,0.704718068158156,0.118923222911399,0.0575696255553629,0.0081298078916256,0.0185937998605891,0.0039569330442511,0.003644606724721,0.0033140316446685,0.0036141753668557,3.31040917261019e-07,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0228279218957108,0.0092166289988902,0.0049909089873046,0.0016578652878087,0.0016870756247006,0.0003228684791923,0.0002973351268006,0.0010131848366108,0.0002996224954849,5.64632108773542e-08,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,1.9235180670229,mol/bbl,mol/mol,0.0,0.0,0.0,0.739887591910238,0.15934645570325,0.0588362237583891,0.014829529181327,0.0150908143089665,0.0023264463553977,0.0021424643985297,0.0061120362575424,0.0014283067831527,1.31343206578005e-07,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,1.60923455787074,scf/bbl,kg/scf,0.0,0.0,0.0,0.0141855777233093,0.0057273372323579,0.0031014179771955,0.0010302197897131,0.0010483714859646,0.0002006348158589,0.0001847680472348,0.000629606685772,0.0001861894489025,3.50869987232087e-08,,
Stage1,Vapor,Well-Water.Stage1-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Stage1,Vapor,Well-Water.Stage1-Flash,0.0,mol/bbl,mol/mol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Stage1,Vapor,Well-Water.Stage1-Flash,0.0,scf/bbl,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0039423906778409,0.0047012951188054,0.003754321618639,0.0013923967646928,0.0014542870853694,0.0002839139669062,0.0002620632399391,0.0008787750199221,0.0002486078010738,3.60758656015317e-08,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,0.556285397897342,mol/bbl,mol/mol,0.0,0.0,0.0,0.441832476470964,0.281051835639217,0.153036570463169,0.0430665160137827,0.044980769590137,0.0070737997640176,0.0065293824923076,0.0183304680022272,0.0040978913909018,2.90173276383211e-07,,
