"Parameter","Value"
"Number of Stages","3"
"Stage 1 Pressure (psia)","159.65"
"Stage 2 Pressure (psia)","154.65"
"Stage 3 Pressure (psia)","14.75"
"Process Temperature (F)","70"
"GOR [scf/stb]","6529.42035116015"
"API gravity - stock tank condensate","60.6435781087129"
%%%ENDOFMETADATA%%%
"MajorEquipment","FluidFlow","Name","DriveFactor","DriveFactorUnits","GCUnits","Carbon Dioxide","Nitrogen","Hydrogen Sulfide","Methane","Ethane","Propane","Isobutane","Butane","Isopentane","Pentane","Hexane","Pseudocomponent 1","Pseudocomponent 2","NITROUS_OXIDE"
"Tank","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash",1,"bbl/bbl","kg/bbl",5.65436491192864e-05,1.49254491105269e-07,1.88030252523402e-07,0.000507429132331917,0.00079123301551628,0.00122295126232729,0.000585921906812211,0.000804340583484341,0.000397450332706358,0.000275994664256006,0.00019572521241372,0.000129684351704949,1.88567149882629e-09,NA
"Stage3","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash",1,"bbl/bbl","kg/bbl",0.0965111090402626,0.000273750684013743,0.000320021450608973,0.879917428148803,1.34767763757471,2.07728392219393,0.994552216100666,1.36502296439019,0.674301601430078,0.468205007019812,0.331955198753495,0.219847460269555,3.1919171045626e-06,NA
"Stage2","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Flash",1,"bbl/bbl","kg/bbl",0.00130946850562043,4.05670281394501e-05,2.2893421487077e-06,0.0371651823556619,0.0112941133541405,0.00687343763022982,0.00216720235656912,0.00265186032456982,0.00111665507883199,0.000755787435823694,0.000521743695954891,0.000367778722452464,8.31545292658791e-09,NA
"Stage1","Vapor","Well-Condensate.Stage1-Flash",1,"bbl/bbl","kg/bbl",3.23844492385061,0.11340846072514,0.00562978142722334,94.4167407947765,27.8143038362325,16.8690656350585,5.31963330085968,6.50975825755304,2.74381998900901,1.85761952494431,1.28431253726312,0.907880498696147,2.08217089191239e-05,NA
"Well","Condensate","Well-Condensate",1,"bbl/bbl","kg/bbl",3.34575296330728,0.1137248085244,0.00601823210327882,95.3583614343265,29.4046838431992,20.2907926983157,7.93880748689038,11.1204885740733,7.56819175684949,6.21763901909521,10.8280621817193,69.4842651925992,26.095465109101,NA
"Facility","Vapor","Facility-ProducedGas",1,"bbl/bbl","kg/bbl",3.33626550139649,0.113722778437293,0.00595209221998102,95.333823405281,29.1732755871613,18.9532229948826,6.31635271931692,7.8774330822678,3.41923824551792,2.32658031939994,1.61678947971257,1.12809573768815,2.4021941476613e-05,NA
"Tank","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash",0.103416650471957,"scf/bbl","kg/scf",0.000546755758006481,1.44323462831298e-06,1.81818161452046e-06,0.00490664830098623,0.00765092479697775,0.011825477394077,0.00566564382174697,0.00777767003488908,0.00384319479399626,0.0026687642946901,0.00189258897402399,0.00125399876241509,1.82337320945974e-08,NA
"Stage3","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash",176.683144921878,"scf/bbl","kg/scf",0.000546238347087017,1.54938765740662e-06,1.81127323011186e-06,0.00498020016871369,0.0076276525311489,0.011757114257347,0.00562901580985789,0.00772582446952562,0.00381644554565873,0.00264996984985088,0.00187881644794285,0.00124430352633106,1.80657702576776e-08,NA
"Stage2","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Flash",2.50788258286903,"scf/bbl","kg/scf",0.0005221410741337,1.61758083957189e-05,9.12858586102017e-07,0.0148193470497908,0.00450344582768306,0.00274073342874234,0.000864156229391663,0.00105741008079257,0.000445258117927727,0.000301364761247742,0.000208041516584088,0.000146649099509166,3.31572657483629e-09,NA
"Stage1","Vapor","Well-Condensate.Stage1-Flash",6326.34337398615,"scf/bbl","kg/scf",0.000511898379902528,1.7926384013785e-05,8.89895014294186e-07,0.0149243781459946,0.00439658459744764,0.00266647961355115,0.000840870149845794,0.0010289922428683,0.000433713414970734,0.000293632421626498,0.000203010247996369,0.000143507938950854,3.29127075282421e-09,NA
