Field,Value,Type of Entry,Notes,,
  Gerry,Roop
Profile Type,Emitter,Either Activity or EmitterIdentifies what is in this sheet or file
Name,G_C_Connector_Threaded,"Free form, but referenced in the Model Formulation"
Sector,Gathering,Free Form,Industry segment (free form field),,
Major Equipment,Compressor,Pick List,"Major equipment type, used for QC checks",,
Emitter,Connector_Threaded,Free Form,Name of the emitter,,
Active Mode,OP,"Pick List, dependent on major euqipment type","Mode when this is active, may be list of multiple mode IDs.",,
Distribution Type,Histogram,Pick List,Histogram or Analytic,,
Value Column Name,Emission Rate,,
Gas Type,WholeGas,Pick List,What is being emitted,,
Screened Components,30956.3638,FP Number
Emitting Components,778.46,FP Number,Emitting components must be <= screened components,,
Data Origin,"GEF Study, AvgFactor.xlsx, Sheet 'C Connector Flanged'",Free form,Anything you want,,
Notes,,
%%%ENDOFMETADATA%%%,,
Sample ID,Value,Frequency
1,0.025,10567
2,0.075,4923
3,0.125,4784
4,0.175,4759
5,0.225,5307
6,0.275,2757
7,0.325,1505
8,0.375,884
9,0.425,1449
10,0.475,1432
11,0.525,537
12,0.575,456
13,0.775,8
14,0.825,193
15,0.875,393
16,0.925,408
17,0.975,581
18,1.025,470
19,1.075,950
20,1.125,2449
21,1.175,1957
22,1.225,1709
23,1.275,712
24,1.325,378
25,1.375,85
26,1.425,137
27,1.475,281
28,1.525,302
29,1.575,211
30,1.625,221
31,1.675,527
32,1.725,794
33,1.775,944
34,1.825,1314
35,1.875,2692
36,1.925,3300
37,1.975,2276
38,2.025,1129
39,2.075,750
40,2.125,487
41,2.175,490
42,2.225,1248
43,2.275,1876
44,2.325,2066
45,2.375,1652
46,2.425,757
47,2.475,345
48,2.525,221
49,2.575,118
50,2.625,65
51,2.675,25
52,2.725,132
53,2.775,318
54,2.825,1043
55,2.875,1719
56,2.925,2248
57,2.975,2284
58,3.025,1923
59,3.075,1325
60,3.125,752
61,3.175,290
62,3.225,176
63,3.275,165
64,3.325,253
65,3.375,334
66,3.425,378
67,3.475,463
68,3.525,411
69,3.575,454
70,3.625,455
71,3.675,335
72,3.725,406
73,3.775,379
74,3.825,472
75,3.875,475
76,3.925,482
77,3.975,522
78,4.025,520
79,4.075,518
80,4.125,586
81,4.175,561
82,4.225,525
83,4.275,536
84,4.325,455
85,4.375,563
86,4.425,717
87,4.475,819
88,4.525,871
89,4.575,1038
90,4.625,1189
91,4.675,1234
92,4.725,1151
93,4.775,1238
94,4.825,968
95,4.875,839
96,4.925,504
97,4.975,320
98,5.025,240
99,5.075,259
100,5.125,227
101,5.175,251
102,5.225,268
103,5.275,279
104,5.325,398
105,5.375,457
106,5.425,486
107,5.475,594
108,5.525,658
109,5.575,623
110,5.625,513
111,5.675,425
112,5.725,378
113,5.775,210
114,5.825,179
115,5.875,179
116,5.925,124
117,5.975,114
118,6.025,93
119,6.075,108
120,6.125,113
121,6.175,134
122,6.225,190
123,6.275,210
124,6.325,278
125,6.375,359
126,6.425,360
127,6.475,445
128,6.525,444
129,6.575,481
130,6.625,448
131,6.675,522
132,6.725,453
133,6.775,496
134,6.825,611
135,6.875,707
136,6.925,640
137,6.975,772
138,7.025,833
139,7.075,706
140,7.125,627
141,7.175,462
142,7.225,465
143,7.275,327
144,7.325,221
145,7.375,159
146,7.425,134
147,7.475,85
148,7.525,111
149,7.575,76
150,7.625,66
151,7.675,88
152,7.725,76
153,7.775,78
154,7.825,65
155,7.875,83
156,7.925,100
157,7.975,77
158,8.025,46
159,8.075,107
160,8.125,118
161,8.175,152
162,8.225,218
163,8.275,251
164,8.325,337
165,8.375,448
166,8.425,447
167,8.475,602
168,8.525,680
169,8.575,689
170,8.625,857
171,8.675,690
172,8.725,916
173,8.775,858
174,8.825,835
175,8.875,772
176,8.925,774
177,8.975,792
178,9.025,727
179,9.075,635
180,9.125,462
181,9.175,563
182,9.225,557
183,9.275,447
184,9.325,451
185,9.375,433
186,9.425,411
187,9.475,393
188,9.525,468
189,9.575,425
190,9.625,441
191,9.675,385
192,9.725,355
193,9.775,313
194,9.825,318
195,9.875,337
196,9.925,308
197,9.975,286
198,10.025,340
199,10.075,342
200,10.125,394
201,10.175,310
202,10.225,347
203,10.275,326
204,10.325,351
205,10.375,360
206,10.425,319
207,10.475,332
208,10.525,263
209,10.575,288
210,10.625,287
211,10.675,228
212,10.725,192
213,10.775,228
214,10.825,200
215,10.875,187
216,10.925,198
217,10.975,182
218,11.025,178
219,11.075,257
220,11.125,174
221,11.175,192
222,11.225,205
223,11.275,226
224,11.325,217
225,11.375,207
226,11.425,201
227,11.475,219
228,11.525,284
229,11.575,304
230,11.625,341
231,11.675,307
232,11.725,306
233,11.775,364
234,11.825,329
235,11.875,340
236,11.925,416
237,11.975,429
238,12.025,467
239,12.075,443
240,12.125,581
241,12.175,542
242,12.225,537
243,12.275,675
244,12.325,546
245,12.375,593
246,12.425,598
247,12.475,559
248,12.525,516
249,12.575,595
250,12.625,436
251,12.675,521
252,12.725,409
253,12.775,410
254,12.825,334
255,12.875,325
256,12.925,221
257,12.975,255
258,13.025,195
259,13.075,205
260,13.125,202
261,13.175,147
262,13.225,174
263,13.275,181
264,13.325,199
265,13.375,180
266,13.425,250
267,13.475,220
268,13.525,238
269,13.575,270
270,13.625,323
271,13.675,276
272,13.725,401
273,13.775,386
274,13.825,454
275,13.875,568
276,13.925,442
277,13.975,471
278,14.025,510
279,14.075,613
280,14.125,561
281,14.175,496
282,14.225,525
283,14.275,478
284,14.325,595
285,14.375,470
286,14.425,473
287,14.475,493
288,14.525,447
289,14.575,399
290,14.625,420
291,14.675,331
292,14.725,348
293,14.775,377
294,14.825,292
295,14.875,362
296,14.925,243
297,14.975,285
298,15.025,234
299,15.075,259
300,15.125,219
301,15.175,197
302,15.225,171
303,15.275,237
304,15.325,173
305,15.375,150
306,15.425,136
307,15.475,133
308,15.525,126
309,15.575,103
310,15.625,109
311,15.675,60
312,15.725,86
313,15.775,69
314,15.825,39
315,15.875,49
316,15.925,62
317,15.975,44
318,16.025,91
319,16.075,64
320,16.125,71
321,16.175,103
322,16.225,90
323,16.275,82
324,16.325,111
325,16.375,95
326,16.425,99
327,16.475,123
328,16.525,123
329,16.575,131
330,16.625,143
331,16.675,158
332,16.725,126
333,16.775,192
334,16.825,198
335,16.875,173
336,16.925,173
337,16.975,212
338,17.025,197
339,17.075,164
340,17.125,204
341,17.175,169
342,17.225,156
343,17.275,159
344,17.325,163
345,17.375,161
346,17.425,157
347,17.475,137
348,17.525,130
349,17.575,135
350,17.625,97
351,17.675,89
352,17.725,80
353,17.775,98
354,17.825,77
355,17.875,101
356,17.925,102
357,17.975,112
358,18.025,64
359,18.075,89
360,18.125,54
361,18.175,57
362,18.225,42
363,18.275,46
364,18.325,72
365,18.375,64
366,18.425,58
367,18.475,39
368,18.525,40
369,18.575,48
370,18.625,18
371,18.675,53
372,18.725,72
373,18.775,89
374,18.825,82
375,18.875,92
376,18.925,89
377,18.975,141
378,19.025,124
379,19.075,125
380,19.125,134
381,19.175,154
382,19.225,173
383,19.275,217
384,19.325,218
385,19.375,211
386,19.425,206
387,19.475,241
388,19.525,248
389,19.575,296
390,19.625,282
391,19.675,268
392,19.725,293
393,19.775,253
394,19.825,322
395,19.875,293
396,19.925,268
397,19.975,276
398,20.025,266
399,20.075,248
400,20.125,200
401,20.175,225
402,20.225,210
403,20.275,205
404,20.325,189
405,20.375,156
406,20.425,165
407,20.475,175
408,20.525,130
409,20.575,129
410,20.625,121
411,20.675,149
412,20.725,167
413,20.775,139
414,20.825,121
415,20.875,97
416,20.925,128
417,20.975,90
418,21.025,144
419,21.075,140
420,21.125,106
421,21.175,135
422,21.225,125
423,21.275,102
424,21.325,101
425,21.375,91
426,21.425,90
427,21.475,115
428,21.525,76
429,21.575,91
430,21.625,82
431,21.675,104
432,21.725,91
433,21.775,142
434,21.825,85
435,21.875,72
436,21.925,117
437,21.975,103
438,22.025,83
439,22.075,123
440,22.125,68
441,22.175,97
442,22.225,85
443,22.275,87
444,22.325,113
445,22.375,84
446,22.425,84
447,22.475,96
448,22.525,100
449,22.575,76
450,22.625,95
451,22.675,95
452,22.725,70
453,22.775,104
454,22.825,65
455,22.875,83
456,22.925,93
457,22.975,108
458,23.025,95
459,23.075,127
460,23.125,69
461,23.175,104
462,23.225,99
463,23.275,94
464,23.325,77
465,23.375,125
466,23.425,104
467,23.475,84
468,23.525,116
469,23.575,169
470,23.625,117
471,23.675,170
472,23.725,113
473,23.775,157
474,23.825,156
475,23.875,114
476,23.925,124
477,23.975,173
478,24.025,173
479,24.075,159
480,24.125,199
481,24.175,175
482,24.225,166
483,24.275,225
484,24.325,192
485,24.375,221
486,24.425,188
487,24.475,205
488,24.525,185
489,24.575,247
490,24.625,226
491,24.675,214
492,24.725,181
493,24.775,222
494,24.825,197
495,24.875,154
496,24.925,200
497,24.975,210
498,25.025,181
499,25.075,189
