jsonFile,pythonClass,context,modelParameter,pythonParameter,parameterType,optional,isFileRef,isConditionalFile,inKwargTable
Compressor.json,MEETCompressor,Compressor,,modelCategory,Constant,False,False,False,True
Compressor.json,MEETCompressor,Compressor,,modelSubcategory,Constant,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Facility ID,facilityID,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Unit ID,unitID,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Compressor Type,compressorType,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Compressor Power,compressorkW,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Component Count,activityDistribution,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Average Loading,averageLoading,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Std Loading,stdLoading,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Driver Type,driverType,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Starter Event Emission Duration,startVentDurationSecs,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Blowdown Event Duration,blowdownVentDurationSecs,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Operating Fraction,operatingFraction,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,NOP Fraction of NOP/NOD,nopFraction,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Load Condition File,loadCondition,Sheet,True,True,False,True
Compressor.json,MEETCompressor,Compressor,Compressor Efficiency,compressorEfficiency,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Total Duration Lower Limit,lowerLimit,Sheet,False,False,False,True
Compressor.json,MEETCompressor,Compressor,Total Duration Upper Limit,upperLimit,Sheet,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,,modelSubcategory,Constant,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,Blowdown Event Emission Volume,emissionVolume,Sheet,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,Blowdown Event Duration,emissionDuration,Sheet,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,,emissionDriverUnits,Constant,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,Leak GC Name,gasComposition,Sheet,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,,statesActive,Constant,False,False,False,True
Compressor.json,EmpiricalFlowImmediateProduction,Blowdown Event,,emitterID,Constant,False,False,False,True
